"id","question_text","company","date","interview_id"
"q1","Что выведет console.log(typeof f1), console.log(typeof f2), console.log(typeof f3) для функций function f1 () {}, var f2 = function () {}, let f3 = function () {}?","Газпромбанк","2024-11-14","interview_Газпромбанк_000"
"q2","Объясните поведение и результат выполнения кода с самовызывающейся функцией, изменяющей объект o и переменную i, и последующим выводом console.log(o, i)","Газпромбанк","2024-11-14","interview_Газпромбанк_000"
"q3","Объясните поведение и результат выполнения кода с самовызывающейся функцией, принимающей параметры o и i, изменяющей объект и переменную, и последующим выводом console.log(o, i)","Газпромбанк","2024-11-14","interview_Газпромбанк_000"
"q4","Объясните разницу в поведении и результатах между функциями f1 и f2, где f1 изменяет объект и переменную из внешней области, а f2 принимает их как параметры","Газпромбанк","2024-11-14","interview_Газпромбанк_000"
"q5","Объясните, что выведут функции f1 и f2 при вызове, если f1 объявлена как function () { console.log(this) }, а f2 как () => { console.log(this) }","Газпромбанк","2024-11-14","interview_Газпромбанк_000"
"q6","Объясните результаты сравнений console.warn(o == a), console.warn(o === a), console.warn(typeof o == typeof a), console.warn(typeof o === typeof a) для var o = {} и var a = []","Газпромбанк","2024-11-14","interview_Газпромбанк_000"
"q7","Объясните поведение и результат выполнения fetch('http://www.speedtest.net').then(...).catch(...) и бесконечного цикла while(true) с console.log(1)","Газпромбанк","2024-11-14","interview_Газпромбанк_000"
"q8","Что такое IIFE и как работает пример const f1 = () => { f1() } и (() => {})()?","Газпромбанк","2024-11-14","interview_Газпромбанк_000"
"q1","Что такое event-loop","Газпромбанк","2024-11-07","interview_Газпромбанк_001"
"q2","Что такое замыкания","Газпромбанк","2024-11-07","interview_Газпромбанк_001"
"q1","event-loop","Газпромбанк","2024-09-24","interview_Газпромбанк_002"
"q1","Чем бы тебе хотелось заниматься во фронтовой части?","Газпромбанк","2024-08-21","interview_Газпромбанк_003"
"q2","Что можете рассказать о понятиях repaint, reflow? Какие рекомендации в написании производительного кода можете дать, отталкиваясь от этих понятий?","Газпромбанк","2024-08-21","interview_Газпромбанк_003"
"q3","В чём техническая и визуальная разница между {visibility: hidden}, {display: none} и {opacity: 0} при скрытии элемента?","Газпромбанк","2024-08-21","interview_Газпромбанк_003"
"q4","Как распределяются приоритеты CSS селекторов? Какого размера будет текст в элементе <div id='test' class='hello' style='font-size: 8px;'>text here</div> при стилях #test { font-size: 20px; } и .hello { font-size: 10px; }?","Газпромбанк","2024-08-21","interview_Газпромбанк_003"
"q5","Как записать в переменную arr массив из 50 элементов со значениями от 1 до 50 включительно, используя Array.fill или цикл for?","Газпромбанк","2024-08-21","interview_Газпромбанк_003"
"q6","Напишите функцию sum, которая принимает произвольное количество аргументов и возвращает их сумму или конкатенирует их по правилам JavaScript, например: sum(1, 2, 3) возвращает 6, sum(1, 2, '3') возвращает '33', sum('1', 2, 3) возвращает '123'.","Газпромбанк","2024-08-21","interview_Газпромбанк_003"
"q7","В каком порядке выведутся консоль логи при выполнении следующего кода: setTimeout(() => console.log(1)); Promise.reject(2).catch(console.log); Promise.resolve().then(() => setTimeout(() => console.log(3))); new Promise((resolve) => setTimeout(resolve)).then(() => console.log(4)); Promise.resolve(5).then(console.log); setTimeout(() => console.log(6)); console.log(7);","Газпромбанк","2024-08-21","interview_Газпромбанк_003"
"q8","Решите проблему с React-компонентом, в котором каждую секунду в консоль выводится значение счетчика, но при клике на кнопку increment в консоль выводятся сразу несколько значений в секунду (старое и новое), а должно выводиться только новое значение. Компонент использует useState и setInterval для логирования counter.","Газпромбанк","2024-08-21","interview_Газпромбанк_003"
"q1","Расскажи о себе, упор на сложности и достижения","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q2","Как мультиязычность личного кабинета реализовывал","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q3","Почему для работы с картами использовали react-google-maps, а не например яндексовые карты","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q4","Pixel perfect верстка, как ты это реализовывал, что для тебя означает pixel perfect","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q5","Насколько ты готов отстаивать свое мнение","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q6","Как авторизацию реализовывал, токены","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q7","Резюме за один раз писал или дополнял моменты","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q8","Что ты вкладываешь в фразу 'работал с командой' в своем резюме","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q9","Кем ты себя считаешь, изолированный ты или душа компании","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q10","Любишь ли ты критиковать","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q11","Логирование запросов, как было реализовано, где их хранил","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q12","Коллеги сказали, что у тебя два оффера, как ты определяешь их ценность помимо зп и стека технологий","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q13","Что для тебя важно в команде","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q14","Ты закончил работу в 18:00, что ты будешь делать, какие хобби","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q15","Были ли выгорания, если да, то как справлялся","Газпромбанк","2024-07-04","interview_Газпромбанк_005"
"q1","Реализовать отображение списка элементов с пагинацией","Газпромбанк","2024-07-02","interview_Газпромбанк_006"
