"id","question_text","company","date","interview_id"
"q1","event-loop","Нефтетранссервис","2024-11-04","interview_Нефтетранссервис_000"
"q1","Пользователь вводит адрес сайта и нажимает Enter, опишите последовательность действий и флоу загрузки страницы","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q2","Объясните разницу между async и defer при подключении скриптов в HTML","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q3","Что такое CORS и где он работает","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q4","Объясните принцип работы WebSocket","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q5","Что такое JWT и как он используется","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q6","Объясните event-loop и что относится к макротаскам и микротаскам","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q7","Что такое ServiceWorker и WebWorker, в чем их отличия и применение","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q8","Объясните основные концепции React","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q9","Что такое Virtual DOM (VDOM) в React","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q10","Что такое хуки в React и для чего они нужны","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q11","Что такое HOC (Higher-Order Component) в React","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q12","Объясните паттерны: render props, событийный обработчик, состояние на уровне приложения","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q13","Объясните разницу между proto и prototype в JavaScript","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
"q14","Объясните основные концепции Webpack","Нефтетранссервис","2024-10-25","interview_Нефтетранссервис_001"
