"id","question_text","company","date","interview_id"
"q1","почему меняешь работу, чего ждешь от команды, чего не хотел бы на новом месте","CubeLab","2024-07-13","interview_CubeLab_000"
"q2","как работает event loop","CubeLab","2024-07-13","interview_CubeLab_000"
"q3","расскажи про ssr","CubeLab","2024-07-13","interview_CubeLab_000"
"q4","расскажи как добавить разные теги для сео на разные страницы","CubeLab","2024-07-13","interview_CubeLab_000"
"q5","Реализуйте компонент React для отображения счетчика секунд, проведённых на странице, при этом не учитывайте время, когда пользователь переключается на другой таб","CubeLab","2024-07-13","interview_CubeLab_000"
"q6","Расскажите, как спроектировать пошаговую систему бронирования и оплаты, а также как обработать ситуацию, когда несколько человек бронируют одно и то же время","CubeLab","2024-07-13","interview_CubeLab_000"
"q1","По опыту, по процессам в команде, взаимодействие между командами, решение конфликтов","CubeLab","2024-07-10","interview_CubeLab_001"
"q2","Как определяешь нужен ли стейтменеджер проекту? Если да, то какой выберешь","CubeLab","2024-07-10","interview_CubeLab_001"
"q1","Реализовать страницу с счетчиком, который показывает сколько времени пользователь находится на странице в секундах, увеличивая значение каждую секунду","CubeLab","2024-07-10","interview_CubeLab_001"
"q2","Реализовать продолжение работы счетчика при уходе со страницы и возвращении на нее, обсудить варианты сохранения состояния счетчика","CubeLab","2024-07-10","interview_CubeLab_001"
