"id","question_text","company","date","interview_id"
"q1","Типы данных","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
"q2","Что такое замыкание","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
"q3","Что такое HTTP, из чего состоит, какие есть заголовки и методы","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
"q4","Что такое порталы в React","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
"q5","Что такое контекст в React","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
"q6","Что такое куки","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
"q7","Что такое web component, из чего состоит и какие технологии используются","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
"q8","Что такое прототип","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
"q9","Что такое SOLID-принципы","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
"q10","Что такое Set и Map и их младшие братья","Рв-Системс","2025-06-27","interview_Рв-Системс_000"
