"id","question_text","company","date","interview_id"
"q1","Расскажи про все способы хранения данных в браузере","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q2","Особенности работы с index.db","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q3","Web worker: подробно как отправляем туда данные и как получаем","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q4","Service worker","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q5","Особенности поведения eventloop, рассказать про requestAnimationFrame и requestIdleCallback","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q6","Все способы обмена данными между микрофронтами","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q7","Как встроить одну страницу в другую с помощью iframe","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q8","Как обмениваться данными между микрофронтами через localStorage","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q9","Как сделать подписку на обновление DOM дерева с помощью MutationObserver","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q10","Есть ли в node.js eventloop?","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q11","Все методы запретить изменения объекта: freeze, seal, defineProperties","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q12","Чем отличается MOBX от Redux, Proxy обертка","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q13","Подробно про Map, Set, WeakMap, WeakSet: особенности каждого","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q14","Зачем нужен webpack","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q15","Почему Vite быстрее webpack","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q16","Как настроить webpack так, чтобы он приблизился по скорости к Vite","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
"q17","Написать event emitter с методами on и trigger, который позволяет добавлять обработчики событий и вызывать их","F6 - Команда Кибербезопасности","2025-06-23","interview_F6_-_Команда_Кибербезопасности_000"
