"id","question_text","company","date","interview_id"
"q1","зачем реакт нужен","Selecty","2025-04-04","interview_Selecty_000"
"q2","что такое virtual dom","Selecty","2025-04-04","interview_Selecty_000"
"q3","перечислите и объясните http статус коды от 100 до 500","Selecty","2025-04-04","interview_Selecty_000"
"q4","в чем заключается безопасность https","Selecty","2025-04-04","interview_Selecty_000"
"q5","объясните протокол шифрования TCP","Selecty","2025-04-04","interview_Selecty_000"
"q6","как происходит приоритезация селекторов в css","Selecty","2025-04-04","interview_Selecty_000"
"q7","расскажите подробно про jwt, из каких частей состоит JWT","Selecty","2025-04-04","interview_Selecty_000"
"q8","что такое rest api","Selecty","2025-04-04","interview_Selecty_000"
"q9","где можно передавать данные в http запросах кроме заголовков","Selecty","2025-04-04","interview_Selecty_000"
"q10","перечислите методы http","Selecty","2025-04-04","interview_Selecty_000"
"q11","в чем разница между авторизацией и аутентификацией","Selecty","2025-04-04","interview_Selecty_000"
"q12","что такое вебсокеты","Selecty","2025-04-04","interview_Selecty_000"
"q13","объясните защищенность https и незащищенность http","Selecty","2025-04-04","interview_Selecty_000"
"q14","что такое cors и как он связан с https","Selecty","2025-04-04","interview_Selecty_000"
"q15","как можно скрыть контент на экране у пользователя","Selecty","2025-04-04","interview_Selecty_000"
"q16","каковы особенности стрелочной функции и зачем ее сделали","Selecty","2025-04-04","interview_Selecty_000"
"q17","задача: определить, что будет выводиться в логи в react компоненте при определенных условиях","Selecty","2025-04-04","interview_Selecty_000"
