"id","question_text","company","date","interview_id"
"q1","почему ищете новую работу","Westlink","2024-06-19","interview_Westlink_000"
"q2","как была реализована работа с апи и как вы понимали когда начинать интеграцию с бэком","Westlink","2024-06-19","interview_Westlink_000"
"q3","как выстроен процесс разработки","Westlink","2024-06-19","interview_Westlink_000"
"q4","на что обращаете внимание при рефакторинге","Westlink","2024-06-19","interview_Westlink_000"
"q5","как определяли что тормозит приложение и какие инструменты использовали","Westlink","2024-06-19","interview_Westlink_000"
"q6","Сделать пример верстки на флексах или гридах, не трогая разметку: в контейнере три блока с классами red, blue и green, где red и blue занимают по 50% ширины и высоты, а green занимает оставшееся пространство по flex-grow и 100% высоты","Westlink","2024-06-19","interview_Westlink_000"
"q7","Написать код, при клике на блок внутри контейнера должен выводиться в консоль цвет блока (имя класса элемента, на который кликнули)","Westlink","2024-06-19","interview_Westlink_000"
"q8","Объяснить EventLoop на примере кода с Promise и setTimeout, где выводятся 'start', 'promise1', 'timer1', 'promise2', 'timer2'","Westlink","2024-06-19","interview_Westlink_000"
"q9","Что будет выведено в консоль при выполнении функции, где внутри функции объявляется локальная переменная с тем же именем, что и внешняя, и проверяется typeof переменной до объявления","Westlink","2024-06-19","interview_Westlink_000"
"q10","Что будет выведено в консоль при вызове метода объекта, который возвращает this.fullname, и при вызове этого метода отдельно от объекта","Westlink","2024-06-19","interview_Westlink_000"
"q11","Написать React-компонент, который при нажатии на кнопку добавляет элемент с уникальным ID, а при нажатии на этот элемент удаляет его из списка","Westlink","2024-06-19","interview_Westlink_000"
