company,cluster_id,cluster_label,count
- Знакомство С Менеджерами,-1,noise,1
- Интеграционные Решения,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
- Интеграционные Решения,-1,noise,1
- Ту Софт,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
07 Точка Маркетплейсы,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
65Apps,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
AEX Soft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
AEX Soft,-1,noise,5
ATI.su,9,9: сложности алгоритмов / typescript замыкание / react преимущества,21
ATI.su,-1,noise,6
Action Tech,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Action Tech,-1,noise,4
Aggregate Digital,9,9: сложности алгоритмов / typescript замыкание / react преимущества,14
Aggregate Digital,-1,noise,3
Agima,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Agima,-1,noise,2
Aladdin,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Aladdin,-1,noise,4
Alderasoft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,16
Alderasoft,-1,noise,4
Alfabit,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Alfabit,-1,noise,3
Algorithmic Brains,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Altenar,9,9: сложности алгоритмов / typescript замыкание / react преимущества,28
Altenar,-1,noise,7
AmoCRM,9,9: сложности алгоритмов / typescript замыкание / react преимущества,29
AmoCRM,-1,noise,14
Angie,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Angie,-1,noise,6
Argo Studio,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Argo Studio,-1,noise,6
Automated Communication Solutions,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Automated Communication Solutions,-1,noise,7
Avito,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Avito,-1,noise,2
Avs Consulting,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19
Avs Consulting,-1,noise,2
BI.Zone,9,9: сложности алгоритмов / typescript замыкание / react преимущества,30
BI.Zone,-1,noise,18
Bean Counter,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Belitsoft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,24
Belitsoft,-1,noise,3
Bell Integrator,9,9: сложности алгоритмов / typescript замыкание / react преимущества,89
Bell Integrator,-1,noise,32
BetBoom,9,9: сложности алгоритмов / typescript замыкание / react преимущества,36
BetBoom,-1,noise,11
Bitrix24,9,9: сложности алгоритмов / typescript замыкание / react преимущества,3
Bitronics Lab,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Bitronics Lab,-1,noise,2
Bnd,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Bnd,-1,noise,1
Boomerang,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Boomerang,-1,noise,5
Brainshell,9,9: сложности алгоритмов / typescript замыкание / react преимущества,26
Brainshell,-1,noise,3
Broad Apps,9,9: сложности алгоритмов / typescript замыкание / react преимущества,9
Broad Apps,-1,noise,4
Broniboy Тех Скриннинг,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Broniboy Тех Скриннинг,-1,noise,1
CSSSR,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
CSSSR,-1,noise,1
Caltat,9,9: сложности алгоритмов / typescript замыкание / react преимущества,6
Caltat,-1,noise,1
Centicore Solutions На Проект Go Invest,9,9: сложности алгоритмов / typescript замыкание / react преимущества,5
Ceramic3D,-1,noise,2
Ceramic3D,9,9: сложности алгоритмов / typescript замыкание / react преимущества,1
Clevertec,9,9: сложности алгоритмов / typescript замыкание / react преимущества,23
Clevertec,-1,noise,9
Click2Money,9,9: сложности алгоритмов / typescript замыкание / react преимущества,12
Click2Money,-1,noise,5
Cloud.Ru,9,9: сложности алгоритмов / typescript замыкание / react преимущества,25
Cloud.Ru,-1,noise,4
Comagic,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Comagic,-1,noise,1
Consaltica,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
Cosysoft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,19
Cosysoft,-1,noise,6
Crtex,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
Crtex,-1,noise,1
CubeLab,9,9: сложности алгоритмов / typescript замыкание / react преимущества,7
CubeLab,-1,noise,3
Darinsoft,9,9: сложности алгоритмов / typescript замыкание / react преимущества,11
Darinsoft,-1,noise,1
Data World,9,9: сложности алгоритмов / typescript замыкание / react преимущества,15
Data World,-1,noise,2
Datagile,9,9: сложности алгоритмов / typescript замыкание / react преимущества,34
Datagile,-1,noise,6
Datanomica,9,9: сложности алгоритмов / typescript замыкание / react преимущества,10
Datanomica,-1,noise,4
Dataworks,9,9: сложности алгоритмов / typescript замыкание / react преимущества,4
Dataworks,-1,noise,2
Datsteam,9,9: сложности алгоритмов / typescript замыкание / react преимущества,8
Datsteam,-1,noise,2
Dcloud,-1,noise,2
Dcloud,9,9: сложности алгоритмов / typescript замыкание / react преимущества,2
