"id","question_text","company","date","interview_id"
"q1","Что такое event-loop","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q2","Что такое замыкания","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q3","Опишите, что будет, если выполнить определённый код с асинхронными операциями (Promise, async/await)","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q4","Реализуйте функцию debounce с настраиваемой задержкой","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q5","Реализуйте функцию throttle","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q6","Напишите функцию, которая клонирует объект с учётом вложенных структур","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q7","Объясните, как работает прототипное наследование в JavaScript","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q8","Опишите разницу между var, let и const","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q9","Что будет, если вызвать функцию с определённым контекстом (this) и как его изменить","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q10","Реализуйте функцию, которая ограничивает количество одновременных асинхронных вызовов (parallelLimit)","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q11","Опишите, как работает event bubbling и event capturing в DOM","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q12","Что такое замыкания и как они используются для создания приватных переменных","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
"q13","Напишите функцию getRoute, которая возвращает маршрут на основе переданных параметров","БФТ-Холдинг","2024-07-18","interview_БФТ-Холдинг_000"
