"id","question_text","company","date","interview_id"
"q1","Отличия http от https","Sminex","2025-07-04","interview_Sminex_000"
"q2","Какой статус вернет успешный POST запрос?","Sminex","2025-07-04","interview_Sminex_000"
"q3","Что такое CORS? Кто является инициатором блокировки браузер или сервер?","Sminex","2025-07-04","interview_Sminex_000"
"q4","Как бы ты реализовал аккордеон с помощью HTML/CSS?","Sminex","2025-07-04","interview_Sminex_000"
"q5","Какая версия React была на последнем месте работы? Какие хуки из версии 18+ использовал? Приведи кейс для чего именно","Sminex","2025-07-04","interview_Sminex_000"
"q6","Сколько будет перерендеров если будет несколько setState подряд, затем асинхронная функция через async/await и далее опять несколько setState?","Sminex","2025-07-04","interview_Sminex_000"
"q7","Что будет в консоли и какая сложность алгоритма функции filterArrayByArray, которая фильтрует массив объектов по массиву значений?","Sminex","2025-07-04","interview_Sminex_000"
"q1","Отличие http и https","Sminex","2025-04-04","interview_Sminex_001"
"q2","CORS","Sminex","2025-04-04","interview_Sminex_001"
"q3","Какие знаю хуки","Sminex","2025-04-04","interview_Sminex_001"
"q4","Отличие react 17 18 19","Sminex","2025-04-04","interview_Sminex_001"
"q5","Различие map и forEach","Sminex","2025-04-04","interview_Sminex_001"
"q6","Что вызывает перерендер компонента","Sminex","2025-04-04","interview_Sminex_001"
"q7","Как я бы реализовал хлебные крошки","Sminex","2025-04-04","interview_Sminex_001"
"q1","Объяснить работу функции filterArrayByArray, в частности зачем нужен break в цикле и как улучшить её для оптимизации и возврата первого найденного элемента","Sminex","2025-04-04","interview_Sminex_001"
"q2","Как улучшить React компонент Stepper с генерацией шагов, используя мемоизацию для оптимизации рендеринга","Sminex","2025-04-04","interview_Sminex_001"
"q3","Как улучшить React компонент AccordionWithIcon, учитывая что стейт не нужен и аккордеон можно реализовать с помощью нативных элементов <details> и <summary>","Sminex","2025-04-04","interview_Sminex_001"
