"id","question_text","company","date","interview_id"
"q1","Очень подробно расспросили про свой опыт работы, с чего начался мой путь программиста, какие технологии использовал, почему такие, кто выбирал стек, как учил новые вещи","Код Безопасности","2024-11-15","interview_Код_Безопасности_000"
"q2","Спросили, когда смогу приступить","Код Безопасности","2024-11-15","interview_Код_Безопасности_000"
"q1","Что такое event-loop","Код Безопасности","2024-10-16","interview_Код_Безопасности_001"
"q2","Что такое замыкания","Код Безопасности","2024-10-16","interview_Код_Безопасности_001"
"q1","Погружение/всплытие","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q2","Что такое замыкание","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q3","Что такое статические методы","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q4","Как обмениваться данными в React без Redux","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q5","Что такое пропс дриллинг","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q6","Объясните паттерн синглтон","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q7","Чем управляемые и неуправляемые компоненты отличаются в React","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q8","Что такое НОС (не указано, возможно, Носитель Объекта Состояния или другое)","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q9","Как отследить размонтирование функционального компонента в React","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q10","Чем отличается type от interface в TypeScript","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q11","Что такое type guards в TypeScript","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q12","Чем отличается any от unknown в TypeScript","Код Безопасности","2024-10-11","interview_Код_Безопасности_002"
"q1","Статические методы классов","Код Безопасности","2024-09-26","interview_Код_Безопасности_003"
"q2","This","Код Безопасности","2024-09-26","interview_Код_Безопасности_003"
"q3","Context в React","Код Безопасности","2024-09-26","interview_Код_Безопасности_003"
"q4","Redux","Код Безопасности","2024-09-26","interview_Код_Безопасности_003"
"q5","React portal","Код Безопасности","2024-09-26","interview_Код_Безопасности_003"
"q6","Разница между Type и Interface в TypeScript","Код Безопасности","2024-09-26","interview_Код_Безопасности_003"
"q7","Type Guards в TypeScript","Код Безопасности","2024-09-26","interview_Код_Безопасности_003"
"q8","React классы","Код Безопасности","2024-09-26","interview_Код_Безопасности_003"
"q9","useEffect и процесс монтирования компонента в React","Код Безопасности","2024-09-26","interview_Код_Безопасности_003"
