"id","question_text","company","date","interview_id"
"q1","Расскажи о своем опыте","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q2","Сколько человек было в команде","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q3","Как происходило взаимодействие с бэком","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q4","Проводили ли код-ревью и как оно было устроено","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q5","Что происходит в браузере, когда вводим адрес сайта?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q6","Какой этап отрисовки тяжелее Reflow или Repaint?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q7","Есть ли инструменты, которые позволяют избежать Reflow? (свойства transform, opacity, will-change)","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q8","Как управлять процессом загрузки скриптов (async, defer)?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q9","Какие протоколы взаимодействия клиент-серверных знаешь?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q10","Чем отличаются сокеты от HTTP/HTTPS?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q11","В чем отличие методов GET/POST, можем ли получить данные постом/передать body в get?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q12","Какие браузерные хранилища знаешь и чем они отличаются?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q13","Много ли задач было по верстке, много ли верстать приходилось?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q14","Специфичность селекторов","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q15","Что такое eventloop? Как работает? Для чего нужен?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q16","Какие методы промисов ты знаешь? Назови их отличия","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q17","Расскажи про принцип Reconcilation, что это такое. Когда вызывается render() (При изменении state, props ...)?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q18","Как избежать лишних ререндеров при изменении пропсов?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q19","Какие параметры принимает React.memo(). Рассказать про второй параметр","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q20","Рассказать про батчинг","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q21","Рассказать про оптимизацию приложения, какие реакт предоставляет инструменты для оптимизации","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q22","Знаешь ли про ReactCompiler (В React 19 для автоматической мемоизации)","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q23","Инструменты для оптимизации сборки","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q24","Напиши селектор, чтобы выбрать последний элемент, который будет внутри блока с классом menu и у него не будет атрибута [target=\\_blank\\""]""","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q25","Что выведет следующий код с console.log и асинхронными вызовами: console.log(1); setTimeout(() => console.log(2)); Promise.reject(3).catch(console.log); new Promise(resolve => setTimeout(resolve)).then(() => console.log(4)); Promise.resolve(5).then(console.log); console.log(6); setTimeout(() => console.log(7),0);","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q26","Как остановить рекурсию в функции someFunc, которая вызывает сама себя через Promise.resolve().then?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q27","Напиши функцию fetchAll, которая принимает массив URL и возвращает массив ответов в формате JSON, при этом не обрабатывает ошибки","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q28","В чем отличие реализации функции fetchAll с использованием Promise.all от реализации с последовательным await внутри цикла?","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q29","Напиши тип IsArray на TypeScript, который проверяет, является ли переданный тип массивом, и возвращает true или false","Аэроклуб","2025-06-25","interview_Аэроклуб_000"
"q1","Расскажи про себя, про твой опыт, стек, интересные задачи","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q2","Эквивалент stopPropagation с использованием pointer-events","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q3","Объясни специфичность CSS-селекторов","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q4","Что появилось в ES6","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q5","Особенности стрелочных функций, let, const, var, промисов, области видимости, методы промисов","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q6","Объясни понятие батчинга","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q7","Объясни Virtual DOM, реконсилейшн и fiber","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q8","Расскажи про виртуализацию","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q9","Объясни Tree Shaking","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q10","Объясни Portal в React","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q11","Сравни Redux и Context API","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q12","Реализовать функцию fetchAll(urls), которая принимает массив URL-строк и возвращает результаты запросов в том же порядке, можно использовать Promise.all и цикл","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q13","Объясни разницу между CSS-селекторами: div p span {color: red}, div, p, span {color: red}, div > p > span {color: red}","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
"q14","Найти 5 ошибок и предложить улучшения (например, добавить дебаунс) в React-компоненте NumberAndScroll, который асинхронно получает число и отслеживает скролл","Аэроклуб","2024-11-02","interview_Аэроклуб_001"
