"id","question_text","company","date","interview_id"
"q1","Какой максимальный размер команды был в которой работал?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q2","Когда работал над одной задачей, максимум со сколькими людьми тебе приходилось работать? И кто это?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q3","Если работал с аналитиком, то требования в каком виде от него приходили, в чем?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q4","С каким gitflow ты работал? Как велись ветки?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q5","Сколько в среднем жили фича бренчи?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q6","Когда вливали ветку, какие проверки вообще проходит фича ветка?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q7","Кто тебе ставил задачи?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q8","В чем ты оценивал задачи? Если в поинтах, то чему был равен 1 поинт?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q9","На твой взгляд, когда задача считается выполненной и закрытой?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q10","Какими анализаторами когда ты пользуешься?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q11","Если писал тесты, то на чем?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q12","E2E-тесты писал?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q13","С Docker работал?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q14","За счет чего в JS имплементируется полиморфизм?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q15","Что такое нотация О большое?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q16","Что такое хэш-таблица?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q17","Что такое замыкание?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q18","В чем разница между стрелочной функцией и обычной?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q19","Что такое Promise и какую проблему он решает?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q20","Что такое React portal?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q21","Как передать данные между компонентами вверх и вниз по иерархии?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
"q22","В чем разница между useEffect и useLayoutEffect?","Группа Астра","2025-02-07","interview_Группа_Астра_000"
