cluster_id,canonical_question,topics,topic_confidence
3,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
4,В чем различия между типами и интерфейсами в TypeScript и когда следует использовать каждый из них?,TS: типы vs интерфейсы,"{""TS: типы vs интерфейсы"": 1.0}"
2,Расскажите кратко о вашем опыте работы и ключевых достижениях.,Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 0.95}"
1,"Расскажите о корпоративной культуре, условиях труда, системе оплаты и дополнительных бонусах в компании.",Поведенческие/процессы/коммуникации,"{""Поведенческие/процессы/коммуникации"": 0.9666666666666667}"
5,Что такое ref в React и как его правильно использовать?,React: useRef/forwardRef/useLayoutEffect,"{""React: useRef/forwardRef/useLayoutEffect"": 1.0}"
6,Что такое функция очистки (cleanup) в useEffect и как она работает?,,{}
8,Как реализовать функцию groupBy для группировки элементов массива объектов по заданному ключу с возвратом объекта с массивами сгруппированных элементов?,JS: методы массивов/объектов,"{""JS: методы массивов/объектов"": 1.0}"
7,"В чем разница между типами any, unknown и never в TypeScript и когда следует использовать каждый из них?",TS: any/unknown/never/void,"{""TS: any/unknown/never/void"": 1.0}"
9,"Как реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую их к аргументу?",Кодинг-задачи (JS/React),"{""Кодинг-задачи (JS/React)"": 1.0}"
11,Что такое замыкание в JavaScript и как оно работает?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
12,Как работает event loop в JavaScript и как он обрабатывает микрозадачи и макрозадачи?,Async: event loop и микрозадачи,"{""Async: event loop и микрозадачи"": 1.0}"
10,Как реализовать кастомный React-хук useDebounce для задержки обновления значения с очисткой таймаута при изменении?,React: хуки useState/useEffect,"{""React: хуки useState/useEffect"": 0.9499999999999998}"
14,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
15,Как работают замыкания в JavaScript и как они влияют на область видимости переменных?,JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
13,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",TS: типы vs интерфейсы,"{""TS: типы vs интерфейсы"": 1.0}"
16,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
17,"Объясните, как работают замыкания в JavaScript и как область видимости влияет на их поведение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
18,"Как найти медиану двух отсортированных массивов без полной сортировки, используя их упорядоченность для оптимизации?",,{}
19,"Объясните, как работает механизм this в JavaScript и как методы bind, call и apply влияют на его значение.",JS: замыкания и область видимости,"{""JS: замыкания и область видимости"": 1.0}"
20,Как найти медиану двух отсортированных массивов за линейное время O(n)?,,{}
22,Как работает event loop в JavaScript и как обрабатываются микрозадачи и макрозадачи в асинхронном коде?,Async: event loop и микрозадачи,"{""Async: event loop и микрозадачи"": 1.0}"
21,Почему try...catch не ловит ошибки внутри промисов и как правильно обрабатывать ошибки в цепочках промисов?,Async: промисы/async-await,"{""Async: промисы/async-await"": 1.0}"
23,"Как можно улучшить структуру кода, вынеся логику запроса и отображения данных в отдельные модули или функции для повышения читаемости и поддержки?",Архитектура/SOLID/KISS/DRY/YAGNI,"{""Архитектура/SOLID/KISS/DRY/YAGNI"": 0.9}"
25,Почему в React нельзя напрямую изменять текст в DOM и как это связано с виртуальным DOM и управлением состоянием?,,{}
24,"Объясните, как работают замыкания в JavaScript и как они влияют на область видимости переменных.",,{}
26,,,{}
27,,,{}
28,,,{}
29,,,{}
30,,,{}
31,,,{}
32,,,{}
33,,,{}
34,,,{}
35,,,{}
36,,,{}
37,,,{}
38,,,{}
39,,,{}
