id,question_text,company,date,interview_id,company_norm,question_text_norm,cluster_id
q1,"2 этап - знакомство с менеджерами: рассказ о корпоративной культуре, технике, пересмотре зарплаты, соцпакете и дополнительных бонусах",- Знакомство С Менеджерами,2024-10-17,interview_-_Знакомство_С_Менеджерами_000,Знакомство С Менеджерами,"2 этап - знакомство с менеджерами: рассказ о корпоративной культуре, технике, пересмотре зарплаты, соцпакете и дополнительных бонусах",1
q1,Кратко про опыт,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Кратко про опыт,2
q2,Что такое батчинг в реакт,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Что такое батчинг в реакт,3
q3,Разница интерфейсов и типов,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Разница интерфейсов и типов,4
q4,Что такое ref и зачем нужен,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Что такое ref и зачем нужен,5
q5,Что такое cleanup функция в useEffect,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Что такое cleanup функция в useEffect,6
q6,Разница между any / never / unknown,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Разница между any / never / unknown,7
q1,"Реализовать метод groupBy, который группирует элементы массива объектов по заданному ключу и возвращает объект с массивами сгруппированных элементов",- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,"Реализовать метод groupBy, который группирует элементы массива объектов по заданному ключу и возвращает объект с массивами сгруппированных элементов",8
q2,"Реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую переданные функции к аргументу",- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,"Реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую переданные функции к аргументу",9
q3,"Реализовать кастомный React-хук useDebounce, который принимает значение и возвращает его с задержкой обновления в 500 мс, очищая таймаут при изменении значения",- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,"Реализовать кастомный React-хук useDebounce, который принимает значение и возвращает его с задержкой обновления в 500 мс, очищая таймаут при изменении значения",10
q1,Что такое замыкания,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Что такое замыкания,11
q2,event-loop,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,event-loop,12
q3,"Объясните принципы чистого кода: SOLID, KISS, DRY, YAGNI",- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,"Объясните принципы чистого кода: SOLID, KISS, DRY, YAGNI",13
q4,Что такое React,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Что такое React,14
q5,Что такое виртуальный дом в React,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Что такое виртуальный дом в React,15
q6,С какими хуками React вы работали и для чего они используются,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,С какими хуками React вы работали и для чего они используются,16
q7,Обсуждение сложности алгоритмов и понятия Big O,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Обсуждение сложности алгоритмов и понятия Big O,17
q8,"Найдите медиану двух отсортированных массивов без использования сортировки, используя их упорядоченность для оптимального прохода",- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,"Найдите медиану двух отсортированных массивов без использования сортировки, используя их упорядоченность для оптимального прохода",18
q9,Опишите порядок выполнения операций в вашем решении задачи с медианой,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Опишите порядок выполнения операций в вашем решении задачи с медианой,19
q1,Нужно найти медиану двух отсортированных массивов за O(n),- Ту Софт,2024-09-22,interview_-_Ту_Софт_001,Ту Софт,Нужно найти медиану двух отсортированных массивов за O(n),20
q1,"Объясните, почему блок try...catch не ловит ошибки из промисов и как работает обработка ошибок в цепочке промисов",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Объясните, почему блок try...catch не ловит ошибки из промисов и как работает обработка ошибок в цепочке промисов",21
q2,"Проанализируйте вывод консольных логов в следующем коде: setTimeout(()=> console.log('setTimeout'), 0); console.log('scriptstart'); Promise.resolve().then(()=> { console.log(1); throw new Error('err'); console.log(100); }).then(()=> console.log(2)).then(()=> console.log(3))",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Проанализируйте вывод консольных логов в следующем коде: setTimeout(()=> console.log('setTimeout'), 0); console.log('scriptstart'); Promise.resolve().then(()=> { console.log(1); throw new Error('err'); console.log(100); }).then(()=> console.log(2)).then(()=> console.log(3))",22
q3,"Как можно отрефакторить задачу с консольными логами, вынеся таблицу и логику запроса",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Как можно отрефакторить задачу с консольными логами, вынеся таблицу и логику запроса",23
q4,"Зачем нужен React, объясните преимущества декларативности, виртуального DOM и процесса reconciliation",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Зачем нужен React, объясните преимущества декларативности, виртуального DOM и процесса reconciliation",24
q5,Почему нельзя просто изменить текст в элементе через DOM API в React,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Почему нельзя просто изменить текст в элементе через DOM API в React,25
q6,Объясните разницу между умным и глупым компонентом в React,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Объясните разницу между умным и глупым компонентом в React,26
q7,Перечислите и опишите методы жизненного цикла в React и работу хука useEffect,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Перечислите и опишите методы жизненного цикла в React и работу хука useEffect,27
q8,"Что такое замыкание, приведите пример замыкания на основе использования setState внутри useEffect",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Что такое замыкание, приведите пример замыкания на основе использования setState внутри useEffect",28
q9,Объясните назначение свойства key в React,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Объясните назначение свойства key в React,29
q10,Какие правила хуков в React существуют и почему их нужно соблюдать,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Какие правила хуков в React существуют и почему их нужно соблюдать,30
q11,Что такое JSX и можно ли использовать React без него,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Что такое JSX и можно ли использовать React без него,31
q1,Что такое event-loop,07 Точка Маркетплейсы,2024-07-26,interview_07_Точка_Маркетплейсы_000,07 Точка Маркетплейсы,Что такое event-loop,32
q1,Как задача прилетала в бэклог флоу,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Как задача прилетала в бэклог флоу,33
q2,this,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,this,34
q3,call/bind/apply,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,call/bind/apply,35
q4,Замыкание,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Замыкание,36
q5,EventLoop,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,EventLoop,37
q6,Что относится к микротаскам,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Что относится к микротаскам,38
q7,async/await,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,async/await,39
q8,DOM,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,DOM,40
q9,Почему не можем использовать HTML вместо DOM (JavaScript работает только через DOM),10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Почему не можем использовать HTML вместо DOM (JavaScript работает только через DOM),41
q10,Всплытие и погружение событий подробно,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Всплытие и погружение событий подробно,42
q11,stopPropagation и preventDefault,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,stopPropagation и preventDefault,43
q12,"Назовите 3 React-хука, с которыми чаще всего работали",10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,"Назовите 3 React-хука, с которыми чаще всего работали",44
q13,useRef,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,useRef,45
q14,useEffect: как может себя вести при отсутствии зависимостей или при их удалении,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,useEffect: как может себя вести при отсутствии зависимостей или при их удалении,46
q15,HOC (Higher Order Component),10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,HOC (Higher Order Component),47
q16,useMemo vs useCallback,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,useMemo vs useCallback,48
q17,Redux,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Redux,49
q18,Middleware в Redux,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Middleware в Redux,50
q19,HOC (Higher Order Function),10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,HOC (Higher Order Function),51
q20,HTTP vs HTTPS,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,HTTP vs HTTPS,52
q21,Открытый и закрытый ключ,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Открытый и закрытый ключ,53
q22,Как настроить кэширование в браузере,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Как настроить кэширование в браузере,54
q23,sessionStorage vs localStorage,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,sessionStorage vs localStorage,55
q24,"Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения",10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,"Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения",56
