"id","question_text","company","date","interview_id"
"q1","Отличия any и unknown в TypeScript","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q2","Какие знаешь утилити типы в TypeScript","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q3","Что такое дженерики","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q4","Назови причины ререндеров в React и как можно принудительно вызвать ререндер","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q5","Что такое key в React","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q6","Что такое useEffect и какие ещё хуки вызывают эффект (например, useInsertionEffect)","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q7","Что такое useRef","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q8","Почему нужно обращаться к DOM элементу через ref, а не через querySelector","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q9","Что такое callback ref","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q10","Что такое Intersection Observer","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q11","Почему мы не можем хранить структуры данных типа Map и Date в Redux сторе","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q12","Что такое reselect","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q13","Расскажи про Critical Render Path и отличия async/defer","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q1","Опиши TypeScript типы для данных: массив объектов group с id и name ('route' | 'session' | 'mission') и массив list с id, revNo и group (число 1|2|3), а также тип newGroup как Record<number, 'route' | 'session' | 'mission'>","СтилСофт","2025-07-08","interview_СтилСофт_000"
"q2","Реализуй преобразование массива list, заменив поле group с числового ID на соответствующее имя группы из массива group, чтобы получить новый массив с типом TResult, где group — строка 'route' | 'session' | 'mission'","СтилСофт","2025-07-08","interview_СтилСофт_000"
