"id","question_text","company","date","interview_id"
"q1","Как пришел в разработку","Спортс","2025-07-18","interview_Спортс_000"
"q2","Почему именно фронтенд","Спортс","2025-07-18","interview_Спортс_000"
"q3","Расскажи про первое место работы","Спортс","2025-07-18","interview_Спортс_000"
"q4","Почему принимал решения уйти с прошлых мест работы","Спортс","2025-07-18","interview_Спортс_000"
"q5","Расскажи про интересные задачи","Спортс","2025-07-18","interview_Спортс_000"
"q6","Что ищешь / Что хотел бы видеть?","Спортс","2025-07-18","interview_Спортс_000"
"q7","С чем бы не хотел столкнуться?","Спортс","2025-07-18","interview_Спортс_000"
"q8","Что по деньгам?","Спортс","2025-07-18","interview_Спортс_000"
"q1","вопросы по опыту","Спортс","2025-07-08","interview_Спортс_001"
"q2","грейд разработчиков в команде?","Спортс","2025-07-08","interview_Спортс_001"
"q3","как код ревью проходит?","Спортс","2025-07-08","interview_Спортс_001"
"q4","если уйдешь с проекта как думаешь что станет работать хуже?","Спортс","2025-07-08","interview_Спортс_001"
"q5","представь что есть три открытые вкладки (потом вкладка на пк и тф) перечисли способы общения между ними?","Спортс","2025-07-08","interview_Спортс_001"
"q6","как разделяли зону ответственности на проектах?","Спортс","2025-07-08","interview_Спортс_001"
"q7","как по загруженности на проектах?","Спортс","2025-07-08","interview_Спортс_001"
"q8","с чем бы не хотел работать?","Спортс","2025-07-08","interview_Спортс_001"
"q9","что хотел бы поднатоскать/изучить?","Спортс","2025-07-08","interview_Спортс_001"
"q10","мы пишем на Vue тебе норм, как к такому относишься?","Спортс","2025-07-08","interview_Спортс_001"
"q3","Расскажи про все места работы где был, по порядку","Спортс","2025-06-19","interview_Спортс_002"
"q6","Чем гордишься на проекте (рассказать про что-то чего нет в резюме)","Спортс","2025-06-19","interview_Спортс_002"
"q7","Что не нравится в текущей команде, что хотелось бы улучшить","Спортс","2025-06-19","interview_Спортс_002"
"q8","Что нравится в команде, что хотел бы перенести на новую команду","Спортс","2025-06-19","interview_Спортс_002"
"q9","Как подходишь к оптимизации приложения","Спортс","2025-06-19","interview_Спортс_002"
"q1","Вопросы по опыту","Спортс","2025-06-19","interview_Спортс_003"
"q2","Какой грейд в команде у остальных разработчиков из фронтов","Спортс","2025-06-19","interview_Спортс_003"
"q3","Как действуешь когда приходит задача без технического задания","Спортс","2025-06-19","interview_Спортс_003"
"q4","Как проходит код ревью","Спортс","2025-06-19","interview_Спортс_003"
"q5","Как развиваешься? Что изучаешь и читаешь","Спортс","2025-06-19","interview_Спортс_003"
"q6","Писали ли тесты на проекте? На чем и какие","Спортс","2025-06-19","interview_Спортс_003"
"q7","Если уйдешь с проекта, что станет работать хуже или какой функционал 'висит' на тебе","Спортс","2025-06-19","interview_Спортс_003"
"q8","Кому передашь этот функционал при уходе с проекта","Спортс","2025-06-19","interview_Спортс_003"
"q9","Представь что есть 3 открытые вкладки с одного домена, перечисли все способы общения между ними","Спортс","2025-06-19","interview_Спортс_003"
"q10","Представь что есть страница которая долго грузится или лагает. Как бы ты оптимизировал её и с чего бы начинал","Спортс","2025-06-19","interview_Спортс_003"
"q11","Задача на Event Loop: объяснить порядок вывода в консоль и поведение цепочки промисов с setTimeout и несколькими then","Спортс","2025-06-19","interview_Спортс_003"
"q12","Реализовать синглтон LoggerService с методами log и error, который запрещает создание экземпляров через new и предоставляет доступ через getInstance","Спортс","2025-06-19","interview_Спортс_003"
"q13","Смержить два массива объектов sites и pages так, чтобы к каждой странице добавить объект сайта по site_id","Спортс","2025-06-19","interview_Спортс_003"
