"id","question_text","company","date","interview_id"
"q1","Реализуйте функцию getCurrentSeatLimit, которая принимает текущий час и возвращает количество доступных мест акции с учетом времени начала и окончания акции, общего количества мест и количества уже проданных мест","Zero Agency","2025-07-08","interview_Zero_Agency_000"
"q2","Чем увлекаешься","Zero Agency","2025-07-08","interview_Zero_Agency_000"
"q3","Комфорт зп","Zero Agency","2025-07-08","interview_Zero_Agency_000"
"q4","Как свободное время проводишь","Zero Agency","2025-07-08","interview_Zero_Agency_000"
"q5","Сможешь ли ты переехать и когда готов","Zero Agency","2025-07-08","interview_Zero_Agency_000"
"q1","Что происходит с момента ввода URL до получения первого пакета?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q2","Сколько ip-адресов может быть у одного адреса сайте?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q3","Для чего одному сайту много ip адресов?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q4","Для чего используется CDN?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q5","Сталкивался с next.js, настройкой кеширования статики?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q6","Как синхронизировать смену темной/светлой темы при нескольких открытых вкладках сайта в браузере?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q7","Работа со storage синхронная или асинхронная операция?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q8","Что такое Service Worker?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q9","Как реализуется асинхронность в js?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q10","Что такое изолированность потоков?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q11","Сталкивался с вебсокетами? Какие плюсы и минусы?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q12","Какие есть аналоги вебсокета?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q13","Как работает long polling?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q14","Что будет происходить, если на клиенте таймаут опроса сервера 5 мин, а на клиенте 2 сек?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q15","Что такое промисы и как с ними работать?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q16","Promise.any что такое и когда применяется? Приведите практический пример (загрузка данных из нескольких источников)","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q17","Нужна ли фронтенд-программисту математика?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q18","Как давно решал квадратные уравнения?","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q1","Решить квадратное уравнение 2x^2 - x = 0","Zero Agency","2025-06-01","interview_Zero_Agency_001"
"q2","Написать функцию на js для построения гиперболического графика","Zero Agency","2025-06-01","interview_Zero_Agency_001"
