"id","question_text","company","date","interview_id"
"q1","Как задачи разбивались, кто за что отвечал, как ревью происходил","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q2","Стейт и пропс, разница","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q3","Жизненные циклы компонента","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q4","При изменении стейта будет ли рендеринг","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q5","Как изменить пропс в родительском компоненте","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q6","Canvas и SVG, разница","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q7","DOM что это","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q8","Методы запросов, GET и POST, разница в виде формата, как в GET формируется строка запроса","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q9","Redux, что это, для чего он, как появился","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q10","Что нужно сделать, чтобы подключить стор","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q11","С какими БД работал","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q12","Препроцессоры, зачем и какие плюсы","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q13","npm, что это, какие у него проблемы","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q14","JSON, что это, какие правила","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
"q15","Что такое XML, XSD","Центральный Банк Рф","2024-05-31","interview_Центральный_Банк_Рф_000"
