"id","question_text","company","date","interview_id"
"q1","Написать type If","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q2","Написать свой type MyReturnType","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q3","Написать функцию каррирования sum(a)(b)","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q4","Написать класс или конструктор калькулятор с методами sum, sub, result","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q5","Сделать рефакторинг компоненты: учесть семантику и дополнительные ререндеры","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q6","reconciliation","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q7","хуки реакт","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q8","паттерны из ООП","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q9","weakmap, weakset","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q10","что такое рекурсия","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q11","shadow dom","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q12","критический путь рендеринга","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q13","event loop","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q14","http, sse, websocket","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q15","graphQL","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q16","webpack, nginx, docker","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q17","git rebase","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q18","типы тестирования, инструменты","Cosysoft","2024-06-07","interview_Cosysoft_000"
"q1","Что такое event-loop","Cosysoft","2024-06-03","interview_Cosysoft_001"
"q2","Что такое замыкания","Cosysoft","2024-06-03","interview_Cosysoft_001"
"q3","Реализуйте функцию getRoute, которая возвращает маршрут по заданным параметрам","Cosysoft","2024-06-03","interview_Cosysoft_001"
"q4","Реализуйте функцию parallelLimit, которая выполняет несколько асинхронных задач с ограничением на количество параллельных вызовов","Cosysoft","2024-06-03","interview_Cosysoft_001"
"q5","Реализуйте компонент Numbers с функционалом, описанным в исходном коде из src/Numbers/index.tsx","Cosysoft","2024-06-03","interview_Cosysoft_001"
"q6","Реализуйте компонент MyPick с функционалом, описанным в исходном коде из src/MyPick.ts","Cosysoft","2024-06-03","interview_Cosysoft_001"
"q1","useEffect","Cosysoft","2024-05-29","interview_Cosysoft_002"
"q2","Триггерится ли useEffect от изменения useRef","Cosysoft","2024-05-29","interview_Cosysoft_002"
"q3","Что такое type guard","Cosysoft","2024-05-29","interview_Cosysoft_002"
"q5","css in js","Cosysoft","2024-05-29","interview_Cosysoft_002"
