"id","question_text","company","date","interview_id"
"q1","HTML5 что в нем добавилось и почему перешли на HTML5","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q2","В чем разница между id и class в css","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q3","Адаптивная верстка","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q4","Мета теги для чего?","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q5","Как к документу подключить css","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q6","Что такое функция?","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q7","Чем отличается от обычного объекта функция?","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q8","Что такое массивы и зачем они нам?","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q9","Методы массивов","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q10","Рассказать подробно про каждую метод массива","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q11","Разница между === и ==","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q12","Приведение типов в выражениях '5'*'2', '5'+'2', 5 +'2'","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q13","Что такое VDOM","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q14","Что такое хуки в React","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q15","useEffect подробно","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q16","Зачем нужен TypeScript","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q17","Чем interface отличается от type в TypeScript","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q18","Зачем нужен Redux и что он делает, какие еще есть стейт менеджеры","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q19","Опишите подробно, как получить данные с бэкенда и отобразить их в React с использованием хуков","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q20","Реализовать кастомный React хук useFetch для получения данных с сервера с обработкой загрузки и ошибок","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
"q21","Реализовать React компонент DataList, который использует хук useFetch для отображения списка постов с обработкой состояний загрузки и ошибок","Российский Университет Дружбы Народов","2024-11-12","interview_Российский_Университет_Дружбы_Народов_000"
