"id","question_text","company","date","interview_id"
"q1","Способы хранения данных в браузере (sessionStorage, localStorage, cookie)","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q2","Особенности работы с IndexedDB","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q3","Web Worker: как происходит отправка и получение данных","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q4","Service Worker: назначение и особенности работы","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q5","Особенности event loop и взаимодействие с requestAnimationFrame и requestIdleCallback","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q6","Способы обмена данными между микрофронтами: custom events, window.postMessage, shared state, localStorage, BroadcastChannel, EventBus","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q7","Как встроить одну страницу в другую с помощью iframe","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q8","Обмен данными через localStorage и срабатывание события storage в других вкладках","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q9","Подписка на изменения DOM с использованием MutationObserver","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q10","Запрет изменений объекта с помощью Object.freeze, Object.seal и Object.defineProperty с writable: false","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q11","Сравнение MOBX и Redux, отличие Proxy","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q12","Для чего нужен symbol в JavaScript","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q13","Для чего нужен JSX и как он работает","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q14","Зачем нужен Babel и что он делает","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q15","Для чего нужен стейт-менеджер и какую проблему он решает","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
"q16","Реализовать класс Dispatcher, который реализует паттерн издатель-подписчик с методами on для подписки на событие и trigger для вызова обработчиков события","F6 Кибербезопасность","2025-07-03","interview_F6_Кибербезопасность_000"
