"id","question_text","company","date","interview_id"
"q1","Уточнял каждую строчку резюме, какая была команда, как строились процессы, как проводилось ревью кода","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q2","Все основные команды гита, как с ним работала","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q3","Submodules","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q4","Замыкания","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q5","Контекст","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q6","Принципы SOLID с примерами","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q7","Глубокое и поверхностное копирование","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q8","Чистая функция","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q9","Редьюс","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q10","Лонг полинг, шорт полинг","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q11","Все о промисах","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q12","Эвент луп","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q13","Прототипы","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q14","Отличие типа от интерфейса в TypeScript","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q15","Все типы в TypeScript с примерами использования","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q16","As const: для чего и пример использования","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q17","Как работает инференция типов в TypeScript под капотом","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q18","Типовой guard (type guard)","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q19","Keyof","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q20","Жизненный цикл компонента, методы жизненного цикла","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q21","Подробно про хуки useEffect, useCallback, useMemo, useContext, useRef, useReducer","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q22","HOC (Higher Order Components), примеры","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q23","Паттерны проектирования, примеры использования","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q24","Методология Flux","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q25","Как работает Redux","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q26","Хуки React Query, примеры использования в своем проекте","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
"q27","Версии библиотек на проекте (React, TypeScript, Redux, Next), почему именно они","Газпром Нефть","2025-06-06","interview_Газпром_Нефть_000"
