"id","question_text","company","date","interview_id"
"q1","У нас есть таймауты, таймеры, интервалы и тд. Мы запустили таймаут, хотим какое-то отложенное действие, но пользователь уходит со страницы, не дождался нашего таймаута и нам нужно таймаут как-то отменить. Каким образом мы можем это сделать?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q2","Как можно отменить таймаут без использования метода clearTimeout?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q3","Расскажи про контекст у стрелочной функции","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q4","Можно ли передать контекст в стрелочную функцию? Если да, то как?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q5","Что нужно сделать, чтобы useEffect сработал один раз?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q6","Что нужно сделать, чтобы useEffect сработал только на обновление (update), без срабатывания при монтировании?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q7","Запросы GET передаются query параметрами, а можем ли мы сделать то же самое методом POST?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q8","Работал с TypeScript? Просачиваются ли типы из TypeScript в рантайм?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q9","Что из TypeScript может просачиваться в итоговый бандл и рантайм? (например, enums)","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q10","Что мы можем сделать, чтобы наши обработчики не пересоздавались лишний раз при рендере?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q11","Какие типы данных есть в JavaScript?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q12","Почему ты начал писать на React, а не на чем-то другом?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q13","С какими сборщиками ты работал?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
"q14","Что такое CI/CD?","Dodo Brands","2024-10-14","interview_Dodo_Brands_000"
