"id","question_text","company","date","interview_id"
"q1","Что такое SOLID-принципы?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q2","Какие паттерны проектирования вы знаете и использовали в проектах?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q3","Как была устроена авторизация в проекте, расскажите про JWT?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q4","Сравните плюсы и минусы FSD (Feature-Sliced Design) с модульной архитектурой","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q5","Какие типы тестирования вы знаете и для чего каждый из них используется?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q6","Объясните разницу между CSS Grid и Flexbox","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q7","Как бы вы реализовали страницу регистрации с логином, паролем и полем повторения пароля без использования библиотек? Опишите подзадачи, где бы хранили логин и пароль, как бы отправляли данные","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q8","Как бы вы реализовали страницу авторизации для зарегистрированного пользователя без использования библиотек?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q9","Опишите базовые React хуки","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q10","Что такое useTransition в React и как его использовать?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q11","Что такое useDeferredValue в React и для чего он нужен?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q12","Какие проблемы могут возникнуть при использовании функций в зависимостях useEffect?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q13","Что такое ленивые компоненты (lazy components) в React и как их использовать?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q14","Может ли useReducer заменить глобальный стор и почему?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q15","Что делает функция shallow из Redux и как она помогает избежать бесконечных ререндеров?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q16","Какие способы существуют для отлова ошибок в React приложении?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q17","Что такое Strict Mode в React, его особенности и для чего он нужен?","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
"q18","Отрефакторить компонент (задача)","Hitch By Red_Mad_Robot","2024-08-29","interview_Hitch_By_Red_Mad_Robot_000"
