"id","question_text","company","date","interview_id"
"q1","Опыт работы","Kvando","2025-01-31","interview_Kvando_000"
"q2","Какие были задачи, интересные задачи","Kvando","2025-01-31","interview_Kvando_000"
"q3","Объясните принципы SOLID, KISS, DRY","Kvando","2025-01-31","interview_Kvando_000"
"q4","Объясните разницу между HTTP и HTTPS","Kvando","2025-01-31","interview_Kvando_000"
"q5","Перечислите виды HTTP ответов (100, 200, 300, 400, 500) и их назначение","Kvando","2025-01-31","interview_Kvando_000"
"q6","В чем разница между стрелочной и обычной функцией в JavaScript","Kvando","2025-01-31","interview_Kvando_000"
"q7","Объясните, что такое контекст выполнения (this) в JavaScript","Kvando","2025-01-31","interview_Kvando_000"
"q8","Объясните разницу между proto и prototype в JavaScript","Kvando","2025-01-31","interview_Kvando_000"
"q9","Объясните разницу между Interface и Type в TypeScript","Kvando","2025-01-31","interview_Kvando_000"
"q10","Что такое Generic в TypeScript и как его использовать","Kvando","2025-01-31","interview_Kvando_000"
"q11","Объясните основные принципы работы Redux","Kvando","2025-01-31","interview_Kvando_000"
"q12","Расскажите про React и его основные концепции","Kvando","2025-01-31","interview_Kvando_000"
"q13","Что такое Virtual DOM в React и зачем он нужен","Kvando","2025-01-31","interview_Kvando_000"
"q14","Написать функцию isPalindrome, которая принимает строку и проверяет, является ли она палиндромом, при этом реализовать без использования методов массивов split, reverse, join","Kvando","2025-01-31","interview_Kvando_000"
