"id","question_text","company","date","interview_id"
"q1","{} === {}","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q2","1 == '1'","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q3","Лексическое окружение","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q4","event loop","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q5","Методы промиса","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q6","useEffect vs useLayoutEffect","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q7","Что произойдет при выполнении while(true)","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q8","Что выведется при выполнении промисов и setTimeout","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q9","useMemo и useCallback","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q10","Как превратить useMemo в useCallback","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q11","React.memo","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q12","React.memo с кастомной функцией сравнения","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q13","Что выведется на скриншоте","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q14","next middleware","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q15","Структура папок как страниц в Next.js","Sok Studio","2024-11-15","interview_Sok_Studio_000"
"q16","Разница между [id] и [...id] в маршрутизации Next.js","Sok Studio","2024-11-15","interview_Sok_Studio_000"
