"id","question_text","company","date","interview_id"
"q1","Опишите архитектуру FSD: какие есть слои, что каждый слой может использовать и что не может, как реализовывался роутинг","Datanomica","2025-01-28","interview_Datanomica_000"
"q2","В чем преимущество использования React-hook-form для валидации форм, что такое touched и dirty","Datanomica","2025-01-28","interview_Datanomica_000"
"q3","Какие библиотеки для стилизации использовали, расскажите про css-modules","Datanomica","2025-01-28","interview_Datanomica_000"
"q4","Объясните кеширование данных в браузере: какие существуют браузерные хранилища, их размер, как записывать данные и как они работают","Datanomica","2025-01-28","interview_Datanomica_000"
"q5","Что такое нормализация данных и зачем она нужна","Datanomica","2025-01-28","interview_Datanomica_000"
"q6","Какие правила использования React хуков существуют, где нельзя их использовать и вызывать","Datanomica","2025-01-28","interview_Datanomica_000"
"q7","Объясните работу useEffect в React","Datanomica","2025-01-28","interview_Datanomica_000"
"q8","Для чего используется useRef и в чем его отличие от useState","Datanomica","2025-01-28","interview_Datanomica_000"
"q9","Как вы писали тесты, какие подходы использовали","Datanomica","2025-01-28","interview_Datanomica_000"
"q10","Что такое jest.fn() и как его использовать","Datanomica","2025-01-28","interview_Datanomica_000"
"q11","Для чего нужны beforeEach() и afterEach() в тестах","Datanomica","2025-01-28","interview_Datanomica_000"
"q12","Расскажите про паттерны проектирования, которые вы использовали","Datanomica","2025-01-28","interview_Datanomica_000"
"q13","Что такое хоки (Higher-Order Components) в React","Datanomica","2025-01-28","interview_Datanomica_000"
"q14","Для чего используется AbortController и как он работает","Datanomica","2025-01-28","interview_Datanomica_000"
