"id","question_text","company","date","interview_id"
"q1","Что такое JS?","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q2","Чем нравится React?","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q3","Почему хуки нельзя использовать в циклах и условиях?","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q4","Какие минусы React вы видите?","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q5","Как работает useEffect?","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q6","Что будет выведено в консоль после выполнения кода: let obj = { \\a\\"": 1 }; (function (obj) { obj = { \\""a\\"": 2 }; })(obj); console.log(obj.a);""","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q7","Что будет выведено в консоль после выполнения кода: let obj = { \\a\\"": 1 }; (function (obj) { obj.a = 2; })(obj); console.log(obj.a);""","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q8","Что будет выведено в консоль после выполнения кода: let x = { \\a\\"": 1 }; let y = x; y = { \\""a\\"": 2 }; console.log(x.a);""","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q9","Написать функцию counter, которая будет возвращать количество вызовов самой себя: counter() // 1, counter() // 2, ..., counter() // n","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q10","Написать функцию memoize, которая кэширует результаты вызова функции с учётом аргументов, включая объекты с разным порядком ключей","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q11","Задача на React из примера с использованием Vite (https://stackblitz.com/edit/vitejs-vite-zbxh9h?file=README.md)","Мой Склад","2024-11-19","interview_Мой_Склад_000"
"q1","event-loop","Мой Склад","2024-03-09","interview_Мой_Склад_001"
"q2","Что такое замыкания","Мой Склад","2024-03-09","interview_Мой_Склад_001"
