"id","question_text","company","date","interview_id"
"q1","Назови плюсы и минусы микрофронтендов","Теле2","2024-06-12","interview_Теле2_000"
"q2","Объясни способы загрузки singleton и отличие от lazy","Теле2","2024-06-12","interview_Теле2_000"
"q3","Назови плюсы и минусы FSD","Теле2","2024-06-12","interview_Теле2_000"
"q4","Как работает браузер: какой механизм срабатывает до DNS при вводе адреса, что подключается первым до DNS, роль host","Теле2","2024-06-12","interview_Теле2_000"
"q5","Опиши механизм соединения клиент-сервер","Теле2","2024-06-12","interview_Теле2_000"
"q6","Что такое TLS и TCP, что они из себя представляют","Теле2","2024-06-12","interview_Теле2_000"
"q7","В чем отличия HTTP от HTTPS","Теле2","2024-06-12","interview_Теле2_000"
"q8","Как происходит подключение TLS при использовании HTTPS","Теле2","2024-06-12","interview_Теле2_000"
"q9","Что такое DOM и как он работает, как строится DOM","Теле2","2024-06-12","interview_Теле2_000"
"q10","Опиши механизм до рендера страницы, его название и как он работает, механизм оптимизации","Теле2","2024-06-12","interview_Теле2_000"
"q11","Является ли JS компиляцией или интерпретацией, в чем разница","Теле2","2024-06-12","interview_Теле2_000"
"q12","Что такое JIT компиляция (Just In Time)","Теле2","2024-06-12","interview_Теле2_000"
"q13","Как работает JS с точки зрения компиляции","Теле2","2024-06-12","interview_Теле2_000"
"q14","Что блокирует загрузку JS скриптов, а что нет","Теле2","2024-06-12","interview_Теле2_000"
"q15","В чем отличия async и defer при загрузке скриптов","Теле2","2024-06-12","interview_Теле2_000"
"q16","Что происходит после написания кода на TypeScript","Теле2","2024-06-12","interview_Теле2_000"
"q17","Что такое контекст в JS","Теле2","2024-06-12","interview_Теле2_000"
"q18","Что такое прототип и прототипное наследование","Теле2","2024-06-12","interview_Теле2_000"
"q19","Как работает декремент и инкремент в JS","Теле2","2024-06-12","interview_Теле2_000"
"q20","В чем отличия React от Vue","Теле2","2024-06-12","interview_Теле2_000"
"q21","В чем отличия жизненного цикла React и Vue","Теле2","2024-06-12","interview_Теле2_000"
"q22","Расскажи про жизненный цикл в React","Теле2","2024-06-12","interview_Теле2_000"
"q23","Что такое Элемент и что такое Компонент в React, в чем их отличия","Теле2","2024-06-12","interview_Теле2_000"
"q24","Что такое JSX","Теле2","2024-06-12","interview_Теле2_000"
"q25","В чем отличия потока данных в React (однопоточный) и Vue (двунаправленный)","Теле2","2024-06-12","interview_Теле2_000"
"q26","Что такое Reconciliation в React","Теле2","2024-06-12","interview_Теле2_000"
"q27","Что такое чистая функция","Теле2","2024-06-12","interview_Теле2_000"
"q28","Что такое useEffect в React","Теле2","2024-06-12","interview_Теле2_000"
"q29","Какие хуки в React ты знаешь и когда использовал","Теле2","2024-06-12","interview_Теле2_000"
"q30","Когда использовать useMemo и useCallback в React","Теле2","2024-06-12","interview_Теле2_000"
"q31","Что выведет в консоль следующий код с операторами сравнения и приведением типов: console.log(a == b), console.log(a + b), console.log(x === y), console.log(x == y), console.log(x == z), console.log(x === z), console.log(a + +(+c)), console.log(++a + +c++), console.log(a + ++c), console.log(++a + c + +a), console.log(x > 0), console.log(x == 0), console.log(x >= 0)","Теле2","2024-06-12","interview_Теле2_000"
"q32","Прокомментируй работу функции fun(val), которая рекурсивно вызывает себя с декрементом val и сравнивает val с '0', объясни поведение и возможные ошибки при запуске в продакшене","Теле2","2024-06-12","interview_Теле2_000"
"q33","Какая ошибка возникает при переполнении стека вызовов в JS и как она выглядит в Chrome","Теле2","2024-06-12","interview_Теле2_000"
"q34","Что будет в консоли и почему при выполнении кода с объектом, у которого переопределены методы valueOf и toString, при операциях obj + 1, `${obj}`, Number(obj), String(obj)","Теле2","2024-06-12","interview_Теле2_000"
"q35","Напиши React-компонент счетчика с кнопками увеличения и уменьшения, ограничивающий счетчик от 0 до 9","Теле2","2024-06-12","interview_Теле2_000"
"q36","Что будет выведено в консоль при рендере React-компонентов A, B, C, D, где A использует useEffect для обновления состояния, а B и C просто выводят в консоль свои имена","Теле2","2024-06-12","interview_Теле2_000"
"q1","Дан двумерный массив (матрица), необходимо повернуть матрицу так, чтобы первый столбец стал первой строкой в обратном порядке, второй столбец — второй строкой в обратном порядке и так далее, пример входа и выхода: вход: [[1,2,3,4,5],[6,7,8,9,10],[11,12,13,14,15],[16,17,18,19,20],[21,22,23,24,25]], выход: [[21,16,11,6,1],[22,17,12,7,2],[23,18,13,8,3],[24,19,14,9,4],[25,20,15,10,5]]","Теле2","2024-02-12","interview_Теле2_001"
