"id","question_text","company","date","interview_id"
"q1","Где, что и как работал, очень подробный спрос по работе, как взаимодействие с бэком проходило","Вирту Системс","2024-07-18","interview_Вирту_Системс_000"
"q2","Есть модалка, и нужно её через родителя закрывать, как этот процесс происходит, какие события под капотом, как в этом случае используется useEffect","Вирту Системс","2024-07-18","interview_Вирту_Системс_000"
"q3","Есть компонент со стейтом и приходит картинка с одним и тем же названием, как нам делать перерисовку, если ререндера из стейта нет","Вирту Системс","2024-07-18","interview_Вирту_Системс_000"
"q4","Когда лучше использовать spread оператор, а когда нет","Вирту Системс","2024-07-18","interview_Вирту_Системс_000"
"q5","Если есть const a = [10, 3, 5, 5, 1]; const b = a.sort(); перезапишется ли a и b, и как написать так, чтобы не мутировалось","Вирту Системс","2024-07-18","interview_Вирту_Системс_000"
"q1","Над какими проектами работал","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q2","Что использовали для форм и что для валидации","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q3","Как в Zod валидировать одно поле относительно другого с помощью метода refine","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q4","Все про useEffect со всеми тонкостями","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q5","Как бы делал функционал модалки","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q6","Как делать перерисовку компонента со стейтом при приходе картинки с одинаковым названием, чтобы избежать отсутствия ререндера","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q7","Что бы сделал, если два банковских проекта имеют общий функционал","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q8","Что такое npm link","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q9","Объяснить паттерны singleton и наблюдатель","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q1","Что будет выведено в консоль при импорте CSS-модуля и использовании className={styles.h1} в React компоненте","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
"q2","Реализовать класс Store с методами set, get, subscribe и unsubscribe, где set обновляет состояние и вызывает подписчиков, get возвращает состояние, subscribe добавляет слушателя и возвращает функцию отписки, unsubscribe вызывает функцию отписки","Вирту Системс","2024-07-17","interview_Вирту_Системс_001"
