"id","question_text","company","date","interview_id"
"q1","Какой у тебя опыт? Какой проект разрабатываешь?","Datagile","2025-04-23","interview_Datagile_000"
"q2","Был ли у тебя опыт менторства?","Datagile","2025-04-23","interview_Datagile_000"
"q3","Как именно проходило у тебя менторство? Что включало?","Datagile","2025-04-23","interview_Datagile_000"
"q4","Был ли опыт лидить команду?","Datagile","2025-04-23","interview_Datagile_000"
"q5","Ты спрашивала про менторство - это важно для вас? То есть много студентов или в каком ключе?","Datagile","2025-04-23","interview_Datagile_000"
"q6","Какой у вас флоу? Кто следит за гитом? Есть ли ответственные люди за merge в ветку main?","Datagile","2025-04-23","interview_Datagile_000"
"q7","А как именно у вас расставляются задачи? От лида и продакта?","Datagile","2025-04-23","interview_Datagile_000"
"q8","Вы используете докер для фронтенд проекта? Как думаешь, нужен он вообще?","Datagile","2025-04-23","interview_Datagile_000"
"q9","То есть у вас есть девопсы, которые качественно следят за деплоем? Не случаются конфликты при CI, например?","Datagile","2025-04-23","interview_Datagile_000"
"q10","Есть ли у вас тестировщики? Как они работают?","Datagile","2025-04-23","interview_Datagile_000"
"q11","Какая дальше последовательность найма?","Datagile","2025-04-23","interview_Datagile_000"
"q1","Какой порядок вывода в консоль при рендере React-компонентов App, A, B, C, D с использованием useState и useEffect, где в useEffect вызывается setState для увеличения состояния на 1","Datagile","2025-04-18","interview_Datagile_001"
"q2","Что будет выведено в консоль при клике на кнопку, если в обработчике вызываются два setState подряд: первый увеличивает состояние на 1, второй умножает состояние на 2","Datagile","2025-04-18","interview_Datagile_001"
"q3","Опишите порядок вызова console.log в React-компоненте с useState и двумя useEffect, где один useEffect увеличивает счётчик при монтировании, а другой выводит и очищает состояние при изменении счётчика","Datagile","2025-04-18","interview_Datagile_001"
"q4","Опишите поведение React-компонента с двумя useEffect, которые оба зависят от одного состояния counter, при котором один useEffect устанавливает counter в 1, а другой в 2, и как это влияет на рендер и вызовы console.log","Datagile","2025-04-18","interview_Datagile_001"
"q5","Реализуйте React-приложение, которое получает список задач методом GET с API https://jsonplaceholder.typicode.com/todos и выводит список задач с текстом задачи (title)","Datagile","2025-04-18","interview_Datagile_001"
"q6","Реализуйте отображение 'loading...' пока идёт загрузка данных задач из API","Datagile","2025-04-18","interview_Datagile_001"
"q7","Добавьте счётчик, отображающий количество всех задач в списке","Datagile","2025-04-18","interview_Datagile_001"
"q8","Для каждой задачи дополнительно выведите userId и состояние завершённости (completed)","Datagile","2025-04-18","interview_Datagile_001"
"q9","Добавьте фильтр, который оставляет только незавершённые задачи (completed: false)","Datagile","2025-04-18","interview_Datagile_001"
"q10","Отсортируйте список задач по userId в порядке убывания","Datagile","2025-04-18","interview_Datagile_001"
"q11","Добавьте возможность группировать задачи по пользователям (userId)","Datagile","2025-04-18","interview_Datagile_001"
"q1","Что делает браузер после того, как мы ввели адрес в адресной строке","Datagile","2024-12-11","interview_Datagile_002"
"q2","В чем отличие http от https","Datagile","2024-12-11","interview_Datagile_002"
"q3","Что такое CORS","Datagile","2024-12-11","interview_Datagile_002"
"q4","Какие существуют способы оптимизации скорости приложения","Datagile","2024-12-11","interview_Datagile_002"
"q5","Как происходит кеширование","Datagile","2024-12-11","interview_Datagile_002"
"q6","Две задачи на event loop в React: определить порядок вывода логов в консоль для компонентов с useEffect и console.log","Datagile","2024-12-11","interview_Datagile_002"
"q7","Реализовать React-компонент, который получает с заданного URL список todo с названием, состоянием (выполнен/не выполнен) и пользователем, к которому привязан todo; показать процесс загрузки; обработать ошибки; отобразить состояние каждой задачи; реализовать чекбокс для отображения только выполненных задач; реализовать чекбокс для группировки задач по userId","Datagile","2024-12-11","interview_Datagile_002"
"q1","Расскажи про опыт, какая интересная задача была","Datagile","2024-11-01","interview_Datagile_003"
"q2","event loop","Datagile","2024-11-01","interview_Datagile_003"
"q3","Что такое Omit и Pick в TypeScript","Datagile","2024-11-01","interview_Datagile_003"
"q4","Что выведет следующий код и как исправить проблему с замыканием в цикле for var i = 0; i < 5; i++ с функциями, которые выводят i","Datagile","2024-11-01","interview_Datagile_003"
"q5","Реализовать объединение двух массивов чисел так, чтобы элементы не повторялись","Datagile","2024-11-01","interview_Datagile_003"
"q6","Реализовать объединение двух массивов объектов с полем id так, чтобы объекты с одинаковым id не дублировались","Datagile","2024-11-01","interview_Datagile_003"
"q7","Преобразовать массив объектов с полями id и name в объект, где ключи — name, а значения — id","Datagile","2024-11-01","interview_Datagile_003"
"q8","Отсортировать массив объектов по полю id в порядке возрастания","Datagile","2024-11-01","interview_Datagile_003"
"q9","Объяснить порядок вывода значений counter и вызовов useEffect и useEffect с очисткой в React хуках при изменении состояния","Datagile","2024-11-01","interview_Datagile_003"
"q10","Реализовать функцию delay, которая выводит 'end' через 2 секунды после вызова","Datagile","2024-11-01","interview_Datagile_003"
"q11","Типизировать организационную структуру с типами department, group и user с вложенными children","Datagile","2024-11-01","interview_Datagile_003"
"q12","Реализовать функцию обхода дерева организационной структуры и вывести список имен всех пользователей (type === 'user')","Datagile","2024-11-01","interview_Datagile_003"
