"id","question_text","company","date","interview_id"
"q1","Рассказать о проекте","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q2","Какой был состав команды","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q3","Как проводили код-ревью","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q4","На какой грейд себя оцениваешь","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q5","Почему увольняешься","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q6","Методы копирования объектов","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q7","Что выведет в консоль при выполнении кода с поверхностным копированием объекта и изменением вложенного свойства","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q8","Что выведет в консоль при присваивании объекта другой переменной и последующем изменении первой переменной на новый объект","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q9","Что выведет в консоль при выполнении цепочки промисов с setTimeout, then, catch и finally","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q10","Написать тип someName и наиболее оптимальную проверку наличия ключа id в объекте pictures типа Record<ID, Picture>","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q11","Написать функцию reverseString без использования arr.reverse, которая переворачивает строку","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q12","Написать функцию reverseWords, которая переворачивает каждое слово в предложении, используя функцию reverseString","Bell Integrator","2025-07-16","interview_Bell_Integrator_000"
"q1","Расскажи про DNS/DNS-Resolving","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q2","Что такое TCP и IP, как работают, чем отличаются","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q3","Что такое HTTP keep-alive","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q4","Что такое CDN","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q5","Что такое CORS, как обрабатываются сложные запросы (preflight-запросы)","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q6","Отличия cookie/localStorage/sessionStorage, когда используются","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q7","Что такое preload и prefetch, для чего нужны","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q8","Отличия async и defer","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q9","Что такое CSP, для чего нужно","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q10","Рассказать про aria и data-* атрибуты","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q11","Зачем использовать семантическую верстку. Назвать теги семантической верстки","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q12","Рассказать про тег picture, как использовать","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q13","Объяснить специфичность селекторов в CSS","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q14","Отличия вьюпортовых единиц от процентов","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q15","Псевдоклассы и псевдоэлементы: что такое, чем отличаются","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q16","Разница между focus и active","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q17","Разница между :nth-child и :nth-of-type","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q18","Назвать значения свойства display и их отличия. Как влияет padding у inline и inline-block","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q19","Рассказать про box-sizing","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q20","Какой процесс анимации более ресурсоемкий: transform или position:absolute","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q21","Особенности TypeScript. Зачем нужен. Плюсы и минусы","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
"q22","Какие utility types знаешь в TypeScript","Bell Integrator","2025-07-04","interview_Bell_Integrator_001"
