"id","question_text","company","date","interview_id"
"q1","расскажите о себе","Аv.By","2025-06-02","interview_Аv.By_000"
"q2","что такое spread оператор","Аv.By","2025-06-02","interview_Аv.By_000"
"q3","что такое промисы","Аv.By","2025-06-02","interview_Аv.By_000"
"q4","какие состояния есть у промисов","Аv.By","2025-06-02","interview_Аv.By_000"
"q5","что такое eventLoop","Аv.By","2025-06-02","interview_Аv.By_000"
"q6","какой порядок вывода в консоли будет при выполнении кода: console.log(1), setTimeout(()=>console.log(2)), Promise.resolve().then(()=> console.log(3)), console.log(4)","Аv.By","2025-06-02","interview_Аv.By_000"
"q7","у кого больше приоритет: микро или макро таски","Аv.By","2025-06-02","interview_Аv.By_000"
"q8","какие правила использования хуков знаешь","Аv.By","2025-06-02","interview_Аv.By_000"
"q9","жк","Аv.By","2025-06-02","interview_Аv.By_000"
"q10","как организован роутинг в next js","Аv.By","2025-06-02","interview_Аv.By_000"
"q11","как сделать динамические роуты в next js","Аv.By","2025-06-02","interview_Аv.By_000"
"q1","Исправить ошибки и отрефакторить React-компонент Root, который отображает активный Dashboard и количество ререндеров, при этом нельзя менять propTypes и интерфейс пропсов дочерних компонентов; компонент должен корректно считать количество ререндеров и отображать активный Dashboard по клику","Аv.By","2025-06-02","interview_Аv.By_000"
