"id","question_text","company","date","interview_id"
"q1","Компания АйТи фаундейшн (2 этап, общение с командой) Вакансия: https://hh.ru/vacancy/115758717 Вопросы: задавал я, а не они. про продукт, про код, про тех долг, они подробно рассказывали. показали код также, по нему прошлись немного. Задачи: не было","Ооо Айти Фаундейшн","2025-02-07","interview_Ооо_Айти_Фаундейшн_000"
"q1","Что такое event-loop","Ооо Айти Фаундейшн","2025-02-03","interview_Ооо_Айти_Фаундейшн_001"
"q2","Что такое замыкания","Ооо Айти Фаундейшн","2025-02-03","interview_Ооо_Айти_Фаундейшн_001"
"q1","Расскажи о себе","Ооо Айти Фаундейшн","2025-01-31","interview_Ооо_Айти_Фаундейшн_002"
"q2","Свои главные достижения","Ооо Айти Фаундейшн","2025-01-31","interview_Ооо_Айти_Фаундейшн_002"
"q3","React.lazy и бандлы в webpack","Ооо Айти Фаундейшн","2025-01-31","interview_Ооо_Айти_Фаундейшн_002"
"q4","Какие хуки приходилось использовать","Ооо Айти Фаундейшн","2025-01-31","interview_Ооо_Айти_Фаундейшн_002"
"q5","Что такое sse и как реализовывал (почему выбрал тот или иной подход), включая websockets","Ооо Айти Фаундейшн","2025-01-31","interview_Ооо_Айти_Фаундейшн_002"
"q6","Что такое FSD","Ооо Айти Фаундейшн","2025-01-31","interview_Ооо_Айти_Фаундейшн_002"
"q7","Что такое Virtual DOM, включая layout, painting, reflow","Ооо Айти Фаундейшн","2025-01-31","interview_Ооо_Айти_Фаундейшн_002"
"q8","Опиши процессы на твоем текущем месте работы и их преимущества и недостатки","Ооо Айти Фаундейшн","2025-01-31","interview_Ооо_Айти_Фаундейшн_002"
