"id","question_text","company","date","interview_id"
"q1","На каких проектах работал","Мегафон","2025-02-25","interview_Мегафон_000"
"q2","Расскажи про стэк технологий, который использовал","Мегафон","2025-02-25","interview_Мегафон_000"
"q3","Был ли опыт наставничества","Мегафон","2025-02-25","interview_Мегафон_000"
"q4","Почему ушел с последнего места работы","Мегафон","2025-02-25","interview_Мегафон_000"
"q5","По каким критериям ищешь новую работу","Мегафон","2025-02-25","interview_Мегафон_000"
"q6","Как развиваешься в свободное время","Мегафон","2025-02-25","interview_Мегафон_000"
"q7","Что бы выбрал для нового проекта: next или react и почему","Мегафон","2025-02-25","interview_Мегафон_000"
"q8","Как бы оптимизировал проект, какие средства в react есть для оптимизации","Мегафон","2025-02-25","interview_Мегафон_000"
"q9","По какой архитектуре бы начал делать проект (спрашивали про fsd)","Мегафон","2025-02-25","interview_Мегафон_000"
"q1","Дан массив объектов, вернуть новый массив с группировкой по категориям","Мегафон","2025-02-25","interview_Мегафон_000"
"q2","Написать функцию buildQueryString, которая принимает объект с параметрами и возвращает строку query-параметров в формате, подходящем для URL, исключая пустые значения (null, undefined, пустая строка)","Мегафон","2025-02-25","interview_Мегафон_000"
"q1","Расскажи про опыт","Мегафон","2024-09-02","interview_Мегафон_001"
"q2","Что такое TypeScript и зачем он нужен","Мегафон","2024-09-02","interview_Мегафон_001"
"q3","Какие способы взаимодействия клиента и сервера ты знаешь","Мегафон","2024-09-02","interview_Мегафон_001"
"q4","Работал ли с Websocket","Мегафон","2024-09-02","interview_Мегафон_001"
"q5","С какими форматами передачи данных работал","Мегафон","2024-09-02","interview_Мегафон_001"
"q6","Работал ли с Protobuf","Мегафон","2024-09-02","interview_Мегафон_001"
"q7","Читал ли ты спецификацию JavaScript","Мегафон","2024-09-02","interview_Мегафон_001"
"q8","JavaScript однопоточный или многопоточный","Мегафон","2024-09-02","interview_Мегафон_001"
"q9","Как работают Web Worker","Мегафон","2024-09-02","interview_Мегафон_001"
"q10","event loop","Мегафон","2024-09-02","interview_Мегафон_001"
"q11","Почему блокируется работа с интерфейсом если выполняется цикл на 10 миллионов итераций","Мегафон","2024-09-02","interview_Мегафон_001"
"q12","Каким способом можно исправить проблему блокировки интерфейса при длительном цикле","Мегафон","2024-09-02","interview_Мегафон_001"
"q13","Расскажи про requestAnimationFrame","Мегафон","2024-09-02","interview_Мегафон_001"
"q14","Расскажи про сборщик мусора","Мегафон","2024-09-02","interview_Мегафон_001"
"q15","Типы данных в JavaScript","Мегафон","2024-09-02","interview_Мегафон_001"
"q16","Почему null это объект в JavaScript","Мегафон","2024-09-02","interview_Мегафон_001"
"q17","Какие есть способы создания переменных в JavaScript и их особенности","Мегафон","2024-09-02","interview_Мегафон_001"
"q18","Опыт работы с библиотеками для работы с графиками","Мегафон","2024-09-02","interview_Мегафон_001"
"q19","Получаешь огромный массив объектов, нужно его обработать и положить в другой массив. Какими методами и способами можно это сделать, не блокируя работу интерфейса","Мегафон","2024-09-02","interview_Мегафон_001"
"q20","Как бы ты реализовал обработку событий, когда нужно определить место нажатия, а не все объекты еще обработаны и не отрисовались. Какие данные ты бы искал и как отлавливал события","Мегафон","2024-09-02","interview_Мегафон_001"
"q21","Число с плавающей запятой, нужно округлить это число до 6 знаков после запятой средствами JavaScript","Мегафон","2024-09-02","interview_Мегафон_001"
"q1","ООП, примеры, для чего нужен","Мегафон","2024-05-31","interview_Мегафон_002"
"q2","SOLID, примеры, для чего нужен","Мегафон","2024-05-31","interview_Мегафон_002"
"q3","TCP и UDP, разница","Мегафон","2024-05-31","interview_Мегафон_002"
"q4","Что происходит после отправки запроса","Мегафон","2024-05-31","interview_Мегафон_002"
"q5","Методы HTTP, разница между GET и POST, что безопаснее","Мегафон","2024-05-31","interview_Мегафон_002"
"q6","CORS, что это, как работает","Мегафон","2024-05-31","interview_Мегафон_002"
"q7","Чистая функция, примеры","Мегафон","2024-05-31","interview_Мегафон_002"
"q8","Функция высшего порядка","Мегафон","2024-05-31","interview_Мегафон_002"
"q9","Глубокое и поверхностное копирование, в чем разница","Мегафон","2024-05-31","interview_Мегафон_002"
"q1","Проанализировать вывод консоли и объяснить почему, а также предложить исправления для кода с объектом person, содержащим вложенный объект hobby и добавлением свойства position с вложенным salary","Мегафон","2024-05-31","interview_Мегафон_002"
"q2","Проанализировать вывод консоли и объяснить почему, а также как получить длину массива и исправить ошибку вызова метода doSomething у массива","Мегафон","2024-05-31","interview_Мегафон_002"
"q3","Реализовать функцию каррирования add, чтобы можно было вызвать add(5)(4)","Мегафон","2024-05-31","interview_Мегафон_002"
"q4","Проанализировать вывод консоли и объяснить почему, а также предложить исправления для функции-конструктора Person с setInterval, увеличивающим свойство age","Мегафон","2024-05-31","interview_Мегафон_002"
"q5","Проанализировать вывод консоли и объяснить почему, а также предложить исправления для цикла с var и обработчиком события click на кнопке, выводящим значение i","Мегафон","2024-05-31","interview_Мегафон_002"
