"id","question_text","company","date","interview_id"
"q1","Как пробрасывали переменные из env в vite","Queen Games","2025-03-14","interview_Queen_Games_000"
"q2","Про опыт предыдущий","Queen Games","2025-03-14","interview_Queen_Games_000"
"q3","Что такое замыкание","Queen Games","2025-03-14","interview_Queen_Games_000"
"q4","Как использовал замыкание","Queen Games","2025-03-14","interview_Queen_Games_000"
"q5","Что такое throttle и что такое debounce","Queen Games","2025-03-14","interview_Queen_Games_000"
"q6","Как с помощью throttle предотвратить Ddos атаку","Queen Games","2025-03-14","interview_Queen_Games_000"
"q7","Что такое прототип","Queen Games","2025-03-14","interview_Queen_Games_000"
"q8","Какой контекст у стрелочной функции","Queen Games","2025-03-14","interview_Queen_Games_000"
"q9","Атрибуты async и defer для чего нужны и в чем разница","Queen Games","2025-03-14","interview_Queen_Games_000"
"q10","CSS will-change зачем нужен","Queen Games","2025-03-14","interview_Queen_Games_000"
"q11","Как скрыть элемент со страницы","Queen Games","2025-03-14","interview_Queen_Games_000"
"q12","В чем разница между display: none и visibility: hidden","Queen Games","2025-03-14","interview_Queen_Games_000"
"q13","Как можно пробрасывать пропсы между компонентами без Redux и useContext","Queen Games","2025-03-14","interview_Queen_Games_000"
"q14","Как пробросить ref между компонентами через props","Queen Games","2025-03-14","interview_Queen_Games_000"
"q15","Что за паттерн Compound Components","Queen Games","2025-03-14","interview_Queen_Games_000"
"q16","Что такое Render Props","Queen Games","2025-03-14","interview_Queen_Games_000"
"q17","Что такое декораторы в NestJS","Queen Games","2025-03-14","interview_Queen_Games_000"
