"id","question_text","company","date","interview_id"
"q1","Перезагрузка функций","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q2","Статическая типизация","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q3","Дженерики","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q4","Что такое declare в TypeScript и как его использовать","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q5","Что произойдет, если в useEffect не будет массива зависимостей","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q6","Какие проблемы могут возникнуть с контекстом для состояния в React","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q7","Для чего нужны ключи в React и как их правильно использовать","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q8","Оптимизация в React: использование memo, useCallback, useMemo, виртуализация, lazyLoading и другие способы","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q9","Что такое HOC в React и как работают memo и forwardRef","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q10","Что такое кастомные хуки в React, как их писать и для чего они нужны","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q11","Что такое Next.js и для чего он нужен","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q12","Плюсы использования Next.js","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q13","Что такое SSR (Server-Side Rendering) в Next.js","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q14","Как реализуется роутинг в Next.js","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q15","Что такое SSG (Static Site Generation) в Next.js","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q16","В чем преимущества и недостатки SSR и SSG","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q17","Что такое ISR (Incremental Static Regeneration) и как он сочетает плюсы SSR и SSG","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q18","Какие основные компоненты есть в React Native (View, Text, Image, ScrollView, TextInput)","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q19","Какие недостатки есть у React Native","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q20","Что такое WebSocket и как он работает","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q21","Как правильно обрабатывать ошибки в WebSocket","Спросиврача","2024-06-12","interview_Спросиврача_000"
"q22","Что такое CORS и как с ним работать","Спросиврача","2024-06-12","interview_Спросиврача_000"
