"id","question_text","company","date","interview_id"
"q1","Что такое чистая функция","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q2","Что такое замыкание (привести кейс замыкания)","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q3","Как выполняется отрисовка в браузере","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q4","Когда подключится js","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q5","Event Loop","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q6","Что такое VDOM","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q7","useState, колбек функция стейта","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q8","Отличия useEffect от useLayoutEffect","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q9","Что такое key, зачем нужен","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q10","Что нового в React 18","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q11","React.memo, что такое, как юзать, как аргументы","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q12","FLUX - что такое","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q13","Что не нравится в эффекторе, какие минусы видишь","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q14","Отличия типа от интерфейса в TypeScript","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q15","Есть ли перегрузка в TypeScript?","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q16","Что такое satisfies в TypeScript, отличия от as","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
"q17","Декораторы в TypeScript","Aggregate Digital","2024-11-07","interview_Aggregate_Digital_000"
