"id","question_text","company","date","interview_id"
"q1","Что происходит в браузере, когда мы пишем в адресной строке и нажимаем Enter","Data World","2024-11-12","interview_Data_World_000"
"q2","Что происходит от этого момента до момента отрисовки на экране нашей страницы","Data World","2024-11-12","interview_Data_World_000"
"q3","Мы сделали какой-то запрос и получили на него ответ? а что это за протокол и из чего он состоит, какие части этого протокола есть","Data World","2024-11-12","interview_Data_World_000"
"q4","У всех ли HTTP методов есть body","Data World","2024-11-12","interview_Data_World_000"
"q5","Как мы можем оптимизировать скорость загрузки страницы","Data World","2024-11-12","interview_Data_World_000"
"q6","Расскажи, какие механизмы встроенные в браузере есть для хранения данных","Data World","2024-11-12","interview_Data_World_000"
"q7","var let const","Data World","2024-11-12","interview_Data_World_000"
"q8","Что такое область видимости и какие есть виды областей видимости","Data World","2024-11-12","interview_Data_World_000"
"q9","Что такое замыкание","Data World","2024-11-12","interview_Data_World_000"
"q10","Из чего состоит лексическое окружение","Data World","2024-11-12","interview_Data_World_000"
"q11","Что такое this, какие бывают контексты исполнения и как его менять","Data World","2024-11-12","interview_Data_World_000"
"q12","Что такое Call, apply, bind","Data World","2024-11-12","interview_Data_World_000"
"q13","Расскажи про Eventloop","Data World","2024-11-12","interview_Data_World_000"
"q14","Что такое виртуальный дом","Data World","2024-11-12","interview_Data_World_000"
"q15","Что такое хуки и с какими приходилось работать","Data World","2024-11-12","interview_Data_World_000"
"q16","Расскажи про useEffect","Data World","2024-11-12","interview_Data_World_000"
"q1","Определить чему будет равен counter после выполнения функций inc три раза и вызова log в коде с замыканием, где внутри функции foo объявлена переменная str с текущим значением counter, а inc увеличивает counter, а log выводит str","Data World","2024-11-12","interview_Data_World_000"
"q2","Определить порядок вывода логов в консоль в коде с console.log(1), функцией foo, которая выводит 2, затем через setTimeout выводит 3 и внутри промиса 4, и после вызова foo выводится 5","Data World","2024-11-12","interview_Data_World_000"
"q3","Отрефакторить React-компонент TodoList с использованием useState и memo для оптимизации рендеринга, где есть список задач с возможностью добавления, переключения состояния и удаления задач","Data World","2024-11-12","interview_Data_World_000"
