"id","question_text","company","date","interview_id"
"q1","Рассказать про себя","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q2","Рассказать про самый интересный проект или фичу, что вообще самое интересное делал","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q3","Рассказать про архитектуру на проекте","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q4","Монолит vs микрофронты: что такое первое, что такое второе, в чём разница между ними, что лучше, если у тебя монолит, то что не нравится и что хотелось бы изменить в монолите","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q5","У нас есть два приложения: корзина и счёты. С точки зрения пользователя, как сохранить UI-состояние, где пользователь в последний раз был? Как сохранить это состояние с точки зрения монолита и микрофронтов","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q6","Как сделать бесшовный redirect между двумя разными веб-приложениями (карты и дашборд), чтобы не было перезагрузки страницы и белого или чёрного экрана загрузки","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q7","Как можно начать прогружать другое веб-приложение заранее без оболочки, например, отслеживая событие наведения мышки, чтобы при клике ресурсы уже были в кеше","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q8","API first vs UI first подходы: что это и в чём разница","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q9","API first vs UI first: как происходит работа с контрактами при новой фиче, был ли опыт UI first, был ли опыт API first, что ближе и с чем бы работал","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q10","Чем пользуешься из инструментов ИИ и что нравится","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q11","Почему ушёл с последнего места работы","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q12","Нет ли отторжения к вёрстке","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q13","У нас офис. Тебе нормально работать в офисе?","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q14","У нас Vue3. Как долго вы пересаживаетесь с одного фреймворка на другой","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q15","С какими методологиями ведения проекта работали и как происходит взаимодействие в команде","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
"q16","Есть ли опыт работы с картами, если есть, рассказать какие карты, как происходила работа, что отображали и как общались с бэком","ФГАОУ ВО МИИТ","2025-07-18","interview_ФГАОУ_ВО_МИИТ_000"
