"id","question_text","company","date","interview_id"
"q1","Расскажи как работает redux","Holyweb","2025-03-23","interview_Holyweb_000"
"q2","Когда websocket теряет соединение, то он сам его восстанавливает или нет","Holyweb","2025-03-23","interview_Holyweb_000"
"q3","Redux vs Redux Toolkit","Holyweb","2025-03-23","interview_Holyweb_000"
"q4","Как можно сохранить состояние в redux, чтобы при перезагрузке данные не терялись","Holyweb","2025-03-23","interview_Holyweb_000"
"q5","Этапы рендера страницы","Holyweb","2025-03-23","interview_Holyweb_000"
"q6","Расскажи что такое FSD и как организовывали на проекте","Holyweb","2025-03-23","interview_Holyweb_000"
"q7","Что такое поток документа и как на него влияет position","Holyweb","2025-03-23","interview_Holyweb_000"
"q8","Что такое конструктор в классах","Holyweb","2025-03-23","interview_Holyweb_000"
"q9","Разница между статик и обычными методами","Holyweb","2025-03-23","interview_Holyweb_000"
"q10","Состояния промиса","Holyweb","2025-03-23","interview_Holyweb_000"
"q11","Статические методы промиса","Holyweb","2025-03-23","interview_Holyweb_000"
"q12","Сборщик мусора как работает","Holyweb","2025-03-23","interview_Holyweb_000"
"q13","Расскажи как работает eventloop","Holyweb","2025-03-23","interview_Holyweb_000"
"q14","Как отменить стандартное поведение формы, чтобы при отправки у нас не перезагружалась страница","Holyweb","2025-03-23","interview_Holyweb_000"
"q15","Как остановить всплытие события","Holyweb","2025-03-23","interview_Holyweb_000"
"q16","async vs defer","Holyweb","2025-03-23","interview_Holyweb_000"
"q17","unknown vs any","Holyweb","2025-03-23","interview_Holyweb_000"
"q18","Что такое дженерики","Holyweb","2025-03-23","interview_Holyweb_000"
"q19","Перегрузка функций что это и для чего","Holyweb","2025-03-23","interview_Holyweb_000"
"q20","Какие утилити тайпы знаешь","Holyweb","2025-03-23","interview_Holyweb_000"
"q21","Что такое VDOM","Holyweb","2025-03-23","interview_Holyweb_000"
"q22","Что такое React Fiber","Holyweb","2025-03-23","interview_Holyweb_000"
"q23","useRef vs useState","Holyweb","2025-03-23","interview_Holyweb_000"
"q24","Правила написала хуков","Holyweb","2025-03-23","interview_Holyweb_000"
"q25","Что такое lazy и suspanse","Holyweb","2025-03-23","interview_Holyweb_000"
"q26","Как перехватывать ошибки в react","Holyweb","2025-03-23","interview_Holyweb_000"
"q27","Что такое вебворкеры","Holyweb","2025-03-23","interview_Holyweb_000"
"q28","Как писали тесты на проекте, как мокали данные для тестов","Holyweb","2025-03-23","interview_Holyweb_000"
"q29","polling vs long polling","Holyweb","2025-03-23","interview_Holyweb_000"
