"id","question_text","company","date","interview_id"
"q1","Какая алгоритмическая сложность у первой задачи","IT-One","2025-06-27","interview_IT-One_000"
"q2","Какие есть функции","IT-One","2025-06-27","interview_IT-One_000"
"q3","Чем отличается var, let, const","IT-One","2025-06-27","interview_IT-One_000"
"q4","Что такое Temporal Dead Zone","IT-One","2025-06-27","interview_IT-One_000"
"q5","Области видимости","IT-One","2025-06-27","interview_IT-One_000"
"q6","Что такое замыкание","IT-One","2025-06-27","interview_IT-One_000"
"q7","Какие способы хранения информации существуют","IT-One","2025-06-27","interview_IT-One_000"
"q8","Что такое event-loop","IT-One","2025-06-27","interview_IT-One_000"
"q9","Что такое requestIdleCallback","IT-One","2025-06-27","interview_IT-One_000"
"q10","Назовите статические методы промисов","IT-One","2025-06-27","interview_IT-One_000"
"q11","Назовите Utility types","IT-One","2025-06-27","interview_IT-One_000"
"q12","Что такое unknown","IT-One","2025-06-27","interview_IT-One_000"
"q13","Подробно расскажите про useState","IT-One","2025-06-27","interview_IT-One_000"
"q14","В чем разница между рендерингом и отрисовкой","IT-One","2025-06-27","interview_IT-One_000"
"q15","Чем отличается useEffect от useLayoutEffect","IT-One","2025-06-27","interview_IT-One_000"
"q16","Что такое lazy initialization","IT-One","2025-06-27","interview_IT-One_000"
"q17","Что такое функция очистки в React","IT-One","2025-06-27","interview_IT-One_000"
"q18","Что такое useRef","IT-One","2025-06-27","interview_IT-One_000"
"q1","Реализуйте метод Array.prototype.findUnique, который возвращает массив уникальных элементов исходного массива, встречающихся ровно один раз","IT-One","2025-06-27","interview_IT-One_000"
"q2","Напишите функцию замыкания, которая увеличивает и возвращает счетчик при каждом вызове","IT-One","2025-06-27","interview_IT-One_000"
"q19","Для чего используются операторы и функции: ?., ..., ??, &&=, structuredClone(bar), someArray.at(0)","IT-One","2025-06-27","interview_IT-One_000"
"q3","Объясните, что выведет следующий код и почему: let obj = { a: 1 }; let array = [obj]; obj = { ...obj, b: 5 }; console.log(obj); console.log(array);","IT-One","2025-06-27","interview_IT-One_000"
"q4","Объясните порядок вывода и работу event-loop в коде с setTimeout, Promise и then","IT-One","2025-06-27","interview_IT-One_000"
"q5","Объясните, что происходит и чему равен тип Result в следующем TypeScript коде с условным типом и mapped type","IT-One","2025-06-27","interview_IT-One_000"
"q6","Типизируйте функцию getProperty, которая принимает объект и ключ, и возвращает значение по ключу, с проверкой на существование ключа в объекте","IT-One","2025-06-27","interview_IT-One_000"
"q7","Объясните, почему хук usePrevious всегда возвращает предыдущее значение value, хотя внутри useEffect происходит обновление ref.current на каждое изменение value","IT-One","2025-06-27","interview_IT-One_000"
"q8","Объясните почему в React-компоненте с useState, useLayoutEffect и useEffect вывод в консоль происходит в порядке: 2 1 3","IT-One","2025-06-27","interview_IT-One_000"
"q20","Что такое lazy initialization в контексте React или JavaScript","IT-One","2025-06-27","interview_IT-One_000"
"q1","Какие структуры данных знаешь","IT-One","2025-02-03","interview_IT-One_001"
"q2","Необходимо преобразовать исходный массив пользователей в структуру, где данные пользователя сгруппированы по одному из полей объекта user (кроме поля id), внутри группы ключами являются id, а значениями объекты пользователя без поля id","IT-One","2025-02-03","interview_IT-One_001"
"q3","Что выведется в консоли при вызове foo() и foo1() в коде с function declaration и function expression","IT-One","2025-02-03","interview_IT-One_001"
"q4","Что выведется в консоли при выводе функций makeCounter, созданных через замыкание, и вызове их","IT-One","2025-02-03","interview_IT-One_001"
"q5","Что выведется в консоли при вызове функции foo(), которая выводит this","IT-One","2025-02-03","interview_IT-One_001"
"q6","Что выведется в консоли при вызове метода log объекта с внутренней функцией, использующей this через внешнюю переменную","IT-One","2025-02-03","interview_IT-One_001"
"q7","Что выведется в консоли при вызове метода bar объекта obj2, который ссылается на метод foo объекта obj1, использующий this","IT-One","2025-02-03","interview_IT-One_001"
"q8","Что выведется в консоли при изменении объекта obj и его копировании в массив, а затем выводе obj и массива","IT-One","2025-02-03","interview_IT-One_001"
"q9","Что выведется в консоли при рендеринге React-компонента с useLayoutEffect, useEffect и console.log в теле компонента","IT-One","2025-02-03","interview_IT-One_001"
"q10","Зарефакторить React-компонент SomeElement, который рендерит DataElement и SomeImportantElement в зависимости от hasData","IT-One","2025-02-03","interview_IT-One_001"
"q2","Необходимо преобразовать исходный массив пользователей в структуру, где данные сгруппированы по одному из полей объекта user (кроме поля id), внутри группы ключами являются id, а значениями объекты пользователей без поля id","IT-One","2025-01-30","interview_IT-One_002"
"q3","Объясните разницу в поведении функций foo и foo1 при вызове, учитывая их объявление и hoisting","IT-One","2025-01-30","interview_IT-One_002"
"q4","Реализуйте функцию makeCounter, которая возвращает функцию-счётчик, увеличивающую значение при каждом вызове, и объясните работу нескольких независимых счётчиков","IT-One","2025-01-30","interview_IT-One_002"
"q5","Объясните, что выводит функция foo при вызове и как работает this в данном контексте","IT-One","2025-01-30","interview_IT-One_002"
"q6","В объекте a метод log вызывает внутреннюю функцию inner, которая выводит a.name. Объясните, как работает this и почему inner выводит правильное имя","IT-One","2025-01-30","interview_IT-One_002"
"q7","Объясните результат вызова obj2.bar(), если bar ссылается на функцию foo из obj1, и как this влияет на результат","IT-One","2025-01-30","interview_IT-One_002"
"q8","Объясните поведение кода с объектом obj и массивом array, когда obj изменяется через spread-оператор, и как это влияет на содержимое array","IT-One","2025-01-30","interview_IT-One_002"
"q9","Объясните порядок и частоту вызова useLayoutEffect, useEffect и console.log в React-компоненте Effects при рендере и обновлении состояния","IT-One","2025-01-30","interview_IT-One_002"
"q1","event-loop","IT-One","2024-10-07","interview_IT-One_003"
"q1","Что выведется в консоль и как поведет себя следующий код?","IT-One","2024-08-29","interview_IT-One_004"
"q2","Реализуйте задачу на рендер дерева в таблице","IT-One","2024-08-29","interview_IT-One_004"
"q1","Написать кастомный flat метод и протипизировать","IT-One","2024-08-25","interview_IT-One_005"
"q2","Про опыт и интересные задачи","IT-One","2024-08-25","interview_IT-One_005"
"q3","map, foreach, reduce - для чего","IT-One","2024-08-25","interview_IT-One_005"
"q4","Nan","IT-One","2024-08-25","interview_IT-One_005"
"q5","Про промисы","IT-One","2024-08-25","interview_IT-One_005"
"q6","эвент луп","IT-One","2024-08-25","interview_IT-One_005"
"q1","Что выведет console.log(typeof x) для функции function x() {}?","IT-One","2024-08-17","interview_IT-One_006"
"q2","Что выведет console.log(x instanceof Object) для функции function x() {}?","IT-One","2024-08-17","interview_IT-One_006"
"q3","Сравните typeof str1 и typeof str2, где str1 = String(123), str2 = new String(123)","IT-One","2024-08-17","interview_IT-One_006"
"q4","Сравните str1 === str2, где str1 = String(123), str2 = new String(123)","IT-One","2024-08-17","interview_IT-One_006"
"q5","Сравните str1 === String(123), где str1 = String(123)","IT-One","2024-08-17","interview_IT-One_006"
"q6","Сравните str2 === new String(123), где str2 = new String(123)","IT-One","2024-08-17","interview_IT-One_006"
"q7","Сравните str1 === 123, где str1 = String(123)","IT-One","2024-08-17","interview_IT-One_006"
"q9","Сравните str1 == str2, где str1 = String(123), str2 = new String(123)","IT-One","2024-08-17","interview_IT-One_006"
"q10","Сравните str1 == 123, где str1 = String(123)","IT-One","2024-08-17","interview_IT-One_006"
"q12","Какой typeof у переменной y, если y = []?","IT-One","2024-08-17","interview_IT-One_006"
"q13","Что произойдет при попытке изменить первый символ строки str3 = \\123\\"" на \\""2\\"" через str3[0] = \\""2\\"" и вывести str3?""","IT-One","2024-08-17","interview_IT-One_006"
"q14","Чему равны выражения a = 1 + 2 + 3 + \\\\"" и b = \\""\\"" + 1 + 2 + 3?""","IT-One","2024-08-17","interview_IT-One_006"
"q15","Что вернут функции Number(c), parseInt(c, 10), +c и typeof +c при c = \\123x\\""?""","IT-One","2024-08-17","interview_IT-One_006"
"q16","Чему равен Boolean(String(false))?","IT-One","2024-08-17","interview_IT-One_006"
"q17","Что вернет тернарный оператор d ? 1 : 2, если d = []?","IT-One","2024-08-17","interview_IT-One_006"
"q18","Как изменятся переменные i и объект b после выполнения самовызывающейся функции, которая увеличивает i и добавляет свойство j в b?","IT-One","2024-08-17","interview_IT-One_006"
"q19","Как изменятся переменные i и объект b после выполнения самовызывающейся функции с параметрами i и b, которая увеличивает i и добавляет свойство k в b?","IT-One","2024-08-17","interview_IT-One_006"
"q20","Что выведет следующий код с Promise: Promise.resolve(1).then(x => p(x)).then(v => console.log(v)); Promise.resolve(2).then(x => { p(x) }).then(v => console.log(v)); console.log(3); где p — функция, возвращающая Promise с задержкой 1 секунду?","IT-One","2024-08-17","interview_IT-One_006"
"q21","Что обозначают типы Func<T, K extends keyof T>, ReturnType<any>, Parameters<any>, Omit<any, any>, Pick<any, any>, Partial<any>, Required<any> в TypeScript?","IT-One","2024-08-17","interview_IT-One_006"
"q22","Рефакторинг React-компонента Main с использованием useState и useCallback для увеличения счетчика при клике","IT-One","2024-08-17","interview_IT-One_006"
"q23","Реализуйте функцию findPairWithSum(target, arr), которая возвращает индексы двух чисел из массива arr, сумма которых равна target, или null, если такой пары нет","IT-One","2024-08-17","interview_IT-One_006"
"q1","Как выбирал бы что добавить в проект zustand или redux","IT-One","2024-08-17","interview_IT-One_007"
"q2","Что такое атрибут key в React и зачем он нужен","IT-One","2024-08-17","interview_IT-One_007"
"q3","В чем разница между type и interface в TypeScript","IT-One","2024-08-17","interview_IT-One_007"
"q4","Как был построен процесс разработки компонентов в UI kit","IT-One","2024-08-17","interview_IT-One_007"
"q5","Как поступать, если твое решение не принимают либо предлагают другое — как разруливаешь такие ситуации","IT-One","2024-08-17","interview_IT-One_007"
"q6","Расскажите про процессы в предыдущем месте работы","IT-One","2024-08-17","interview_IT-One_007"
"q1","Написать функцию, которая возвращает строку из сконкатенированных value элементов коллекции, расположенных в обратном порядке символов, при этом учитываются только записи с expired: false, конкатенация происходит в порядке возрастания order, а результат не содержит повторяющихся символов","IT-One","2024-07-25","interview_IT-One_008"
"q2","Определить порядок вывода в консоль при выполнении кода с setTimeout, Promise и последовательными then, учитывая event-loop и микротаски","IT-One","2024-07-25","interview_IT-One_008"
"q1","Рассказ про опыт в прошлой компании","IT-One","2024-07-15","interview_IT-One_009"
"q2","Количество входов в систему возросло. А кто вам выдавал эту информацию?","IT-One","2024-07-15","interview_IT-One_009"
"q3","На фронте замеряли метрики?","IT-One","2024-07-15","interview_IT-One_009"
"q4","Писали ли тесты на проекте? Какие виды тестов писали?","IT-One","2024-07-15","interview_IT-One_009"
"q5","Где хранили бизнес-логику: в сторах или в компонентах?","IT-One","2024-07-15","interview_IT-One_009"
