"id","question_text","company","date","interview_id"
"q1","Всем известный палиндром","Росбанк","2024-01-18","interview_Росбанк_000"
"q2","Консольлоги на eventloop с объяснением и рассказом про eventloop","Росбанк","2024-01-18","interview_Росбанк_000"
"q3","Рефакторинг React компонента: что вынести, как поделить, мемоизация и т.д., объяснить каждое действие словами","Росбанк","2024-01-18","interview_Росбанк_000"
"q4","Оценить сложность своего решения палиндрома","Росбанк","2024-01-18","interview_Росбанк_000"
"q5","Как оценить сложность алгоритма?","Росбанк","2024-01-18","interview_Росбанк_000"
"q6","Объяснить различия между Map, Set, WeakMap и WeakSet и рассказать про сборку мусора","Росбанк","2024-01-18","interview_Росбанк_000"
"q7","Какие хуки React вы знаете, кроме useReducer?","Росбанк","2024-01-18","interview_Росбанк_000"
"q8","Как не блокировать рендер стилями при очень большом бандле стилей?","Росбанк","2024-01-18","interview_Росбанк_000"
"q9","Как написать инлайновый скрипт в header, который обращается к DOM, чтобы не получить ошибку?","Росбанк","2024-01-18","interview_Росбанк_000"
"q10","Вопросы про оптимизации в JavaScript и React","Росбанк","2024-01-18","interview_Росбанк_000"
"q11","Объяснить принципы работы Redux","Росбанк","2024-01-18","interview_Росбанк_000"
"q12","Объяснить архитектуру Flux","Росбанк","2024-01-18","interview_Росбанк_000"
"q13","Отличия протоколов HTTP разных версий","Росбанк","2024-01-18","interview_Росбанк_000"
"q14","Что такое CORS, зачем он нужен и как он работает на фронте и бэке?","Росбанк","2024-01-18","interview_Росбанк_000"
"q15","Вопросы про спецификации HTTP-запросов","Росбанк","2024-01-18","interview_Росбанк_000"
"q16","Объяснить, что такое куки, localStorage и sessionStorage, зачем они нужны, где хранятся и как создаются","Росбанк","2024-01-18","interview_Росбанк_000"
"q17","Что такое SSR (Server-Side Rendering)?","Росбанк","2024-01-18","interview_Росбанк_000"
"q18","Расскажите про опыт решения конфликтов на примере код-ревью","Росбанк","2024-01-18","interview_Росбанк_000"
"q19","Расскажите про свой ворк-лайф баланс и отношение к работе","Росбанк","2024-01-18","interview_Росбанк_000"
"q20","Расскажите про свои достижения и чем гордитесь в текущей компании","Росбанк","2024-01-18","interview_Росбанк_000"
"q21","Расскажите про ошибки и неудачи на работе","Росбанк","2024-01-18","interview_Росбанк_000"
"q1","Определить порядок вывода в консоль чисел при выполнении функции с Promise и setTimeout, где внутри функции создается Promise с setTimeout на 1 секунду, setTimeout на 2 секунды, Promise.resolve(4).then и promise.then","Росбанк","2024-01-15","interview_Росбанк_001"
"q2","Реализовать функцию isPalindrome, которая проверяет, является ли строка палиндромом, учитывая разные примеры строк, включая пустую строку, и оценить сложность решения","Росбанк","2024-01-15","interview_Росбанк_001"
"q3","Доделать работающий слайдер на чистом JavaScript с кнопками вперед и назад, который показывает по одному элементу из списка div внутри контейнера с классом wrap","Росбанк","2024-01-15","interview_Росбанк_001"
"q4","Исправить предоставленный код слайдера на чистом JavaScript","Росбанк","2024-01-15","interview_Росбанк_001"
